seq_id,seq_id2,locus_tag,locus_tag2,identity,similarity,start,end,start2,end2
BGC0000513.region001,NC_009142.1.region024,CAM03499.1,MJIAAPGN_42350,1.0,1.00,0.0,2535.0,10000.0,12535.0
BGC0000513.region001,NC_009142.1.region024,CAM03500.1,MJIAAPGN_42360,1.0,1.00,2602.0,2743.0,12602.0,12743.0
BGC0000513.region001,NC_009142.1.region024,CAM03501.1,MJIAAPGN_42370,1.0,1.00,2838.0,4497.0,12838.0,14497.0
BGC0000513.region001,NC_009142.1.region024,CAM03502.1,MJIAAPGN_42380,1.0,1.00,4493.0,6203.0,14493.0,16203.0
BGC0000513.region001,NZ_CP031142.1.region003,CAM03499.1,IECPHNMA_01500,0.8,0.87,0.0,2535.0,12535.0,10000.0
BGC0000513.region001,NZ_CP031142.1.region003,CAM03500.1,IECPHNMA_01490,0.72,0.83,2602.0,2743.0,9933.0,9792.0
BGC0000513.region001,NZ_CP031142.1.region003,CAM03501.1,IECPHNMA_01480,0.7,0.82,2838.0,4497.0,9700.0,8041.0
BGC0000513.region001,NZ_CP031142.1.region003,CAM03502.1,IECPHNMA_01470,0.73,0.83,4493.0,6203.0,8045.0,6308.0
BGC0000513.region001,NZ_CP040605.1.region032,CAM03499.1,DMCKNNNH_75120,0.8,0.87,0.0,2535.0,19925.0,22460.0
BGC0000513.region001,NZ_CP040605.1.region032,CAM03500.1,DMCKNNNH_75130,0.72,0.83,2602.0,2743.0,22527.0,22668.0
BGC0000513.region001,NZ_CP040605.1.region032,CAM03501.1,DMCKNNNH_75140,0.7,0.82,2838.0,4497.0,22760.0,24419.0
BGC0000513.region001,NZ_CP040605.1.region032,CAM03502.1,DMCKNNNH_75150,0.73,0.83,4493.0,6203.0,24415.0,26161.0
BGC0000513.region001,NZ_CP054839.1.region018,CAM03499.1,NFDOCLAH_35930,0.96,0.97,0.0,2535.0,12535.0,10000.0
BGC0000513.region001,NZ_CP054839.1.region018,CAM03500.1,NFDOCLAH_35920,0.91,0.91,2602.0,2743.0,9932.0,9788.0
BGC0000513.region001,NZ_CP054839.1.region018,CAM03501.1,NFDOCLAH_35910,0.95,0.97,2838.0,4497.0,9693.0,8034.0
BGC0000513.region001,NZ_CP054839.1.region018,CAM03502.1,NFDOCLAH_35900,0.94,0.96,4493.0,6203.0,8038.0,6328.0
BGC0000513.region001,NZ_CP059556.1.region003,CAM03499.1,AHDHMJBP_08620,0.69,0.78,0.0,2535.0,20091.0,22632.0
BGC0000513.region001,NZ_CP059556.1.region003,CAM03500.1,AHDHMJBP_08630,0.7,0.77,2602.0,2743.0,22755.0,22893.0
BGC0000513.region001,NZ_CP059556.1.region003,CAM03501.1,AHDHMJBP_08640,0.62,0.76,2838.0,4497.0,23262.0,24918.0
BGC0000513.region001,NZ_CP059556.1.region003,CAM03502.1,AHDHMJBP_08650,0.67,0.79,4493.0,6203.0,24911.0,26630.0
BGC0000513.region001,NZ_CP059557.1.region002,CAM03499.1,DPJDDACK_08080,0.7,0.78,0.0,2535.0,20735.0,23273.0
BGC0000513.region001,NZ_CP059557.1.region002,CAM03500.1,DPJDDACK_08090,0.59,0.71,2602.0,2743.0,23349.0,23505.0
BGC0000513.region001,NZ_CP059557.1.region002,CAM03501.1,DPJDDACK_08100,0.58,0.69,2838.0,4497.0,24046.0,25537.0
BGC0000513.region001,NZ_CP059557.1.region002,CAM03502.1,DPJDDACK_08110,0.57,0.67,4493.0,6203.0,25533.0,27588.0
BGC0000513.region001,NZ_CP061007.1.region035,CAM03499.1,PKJGIIBK_80300,0.8,0.86,0.0,2535.0,27694.0,30232.0
BGC0000513.region001,NZ_CP061007.1.region035,CAM03500.1,PKJGIIBK_80310,0.76,0.78,2602.0,2743.0,30300.0,30441.0
BGC0000513.region001,NZ_CP061007.1.region035,CAM03501.1,PKJGIIBK_80320,0.7,0.82,2838.0,4497.0,30533.0,32195.0
BGC0000513.region001,NZ_CP061007.1.region035,CAM03502.1,PKJGIIBK_80330,0.73,0.83,4493.0,6203.0,32191.0,33937.0
BGC0000513.region001,NZ_CP069353.1.region025,CAM03499.1,KHDLNAGE_43580,1.0,1.00,0.0,2535.0,10000.0,12535.0
BGC0000513.region001,NZ_CP069353.1.region025,CAM03500.1,KHDLNAGE_43590,1.0,1.00,2602.0,2743.0,12602.0,12743.0
BGC0000513.region001,NZ_CP069353.1.region025,CAM03501.1,KHDLNAGE_43600,1.0,1.00,2838.0,4497.0,12838.0,14497.0
BGC0000513.region001,NZ_CP069353.1.region025,CAM03502.1,KHDLNAGE_43610,1.0,1.00,4493.0,6203.0,14493.0,16203.0
BGC0000513.region001,NZ_GL877879.1.region013,CAM03499.1,GBGKCCPF_58700,0.8,0.86,0.0,2535.0,27653.0,30191.0
BGC0000513.region001,NZ_GL877879.1.region013,CAM03500.1,GBGKCCPF_58710,0.76,0.78,2602.0,2743.0,30259.0,30400.0
BGC0000513.region001,NZ_GL877879.1.region013,CAM03501.1,GBGKCCPF_58720,0.7,0.82,2838.0,4497.0,30492.0,32154.0
BGC0000513.region001,NZ_GL877879.1.region013,CAM03502.1,GBGKCCPF_58730,0.73,0.83,4493.0,6203.0,32150.0,33896.0
