,group,cluster,pos,text,node_trace,x_pos,y_pos,cutoff
NZ_RBXX01000002.1.region001,0.0,True,"(3085.3, 1889.8)",P1<br>NZ_RBXX01000002.1.region001<br>['NRPS']<br>azicemicin B<br>0.18,BGC,3085.3,1889.8,0.30
BGC0000202,0.0,True,"(3007.9, 1856.1)",BGC0000202<br>Polyketide<br>azicemicin B,MIBIG (KnownClusterBlast),3007.9,1856.1,0.30
NZ_RBXX01000002.1.region002,1.0,True,"(1332.1, 1298.3)",P1<br>NZ_RBXX01000002.1.region002<br>['NRPS']<br>RP-1776<br>0.04,BGC,1332.1,1298.3,0.30
BGC0000429,1.0,True,"(1295.2, 1241.9)",BGC0000429<br>NRP;Polyketide<br>skyllamycin A;skyllamycin B,MIBIG (KnownClusterBlast),1295.2,1241.9,0.30
NZ_RBXX01000002.1.region003,2.0,True,"(2396.7, 681.35)",P1<br>NZ_RBXX01000002.1.region003<br>['ectoine']<br>ectoine<br>1.00,BGC,2396.7,681.35,0.30
BGC0000853,2.0,True,"(2320.0, 633.29)",BGC0000853<br>Other<br>ectoine,MIBIG (KnownClusterBlast),2320.0,633.29,0.30
NZ_RBXX01000002.1.region004,3.0,True,"(653.9, 1754.2)",P1<br>NZ_RBXX01000002.1.region004<br>['lassopeptide']<br>anantin B1 / anantin B2<br>0.40,BGC,653.9,1754.2,0.30
BGC0001506,3.0,True,"(600.74, 1700.0)",BGC0001506<br>RiPP<br>anantin B1;anantin B2,MIBIG (KnownClusterBlast),600.74,1700.0,0.30
NZ_RBXX01000002.1.region008,4.0,True,"(1761.7, 1467.8)",P1<br>NZ_RBXX01000002.1.region008<br>['T1PKS']<br>maduropeptin<br>0.28,BGC,1761.7,1467.8,0.30
BGC0001008,4.0,True,"(1836.1, 1565.6)",BGC0001008<br>Polyketide<br>maduropeptin,MIBIG (KnownClusterBlast),1836.1,1565.6,0.30
NZ_RBXX01000002.1.region009,5.0,True,"(2775.3, 1505.7)",P1<br>NZ_RBXX01000002.1.region009<br>['amglyccycl']<br>cetoniacytone A<br>0.45,BGC,2775.3,1505.7,0.30
BGC0000283,5.0,True,"(2782.1, 1448.7)",BGC0000283<br>Other<br>cetoniacytone A,MIBIG (KnownClusterBlast),2782.1,1448.7,0.30
NZ_RBXX01000002.1.region010,6.0,True,"(3110.0, 917.31)",P1<br>NZ_RBXX01000002.1.region010<br>['terpene']<br>tetronomycin<br>0.06,BGC,3110.0,917.31,0.30
BGC0000164,6.0,True,"(3024.6, 882.82)",BGC0000164<br>Polyketide<br>tetronomycin,MIBIG (KnownClusterBlast),3024.6,882.82,0.30
NZ_RBXX01000002.1.region011,7.0,True,"(3019.5, 2518.1)","P1<br>NZ_RBXX01000002.1.region011<br>['T2PKS', 'T1PKS']<br>xantholipin<br>0.08",BGC,3019.5,2518.1,0.30
BGC0000279,7.0,True,"(2958.6, 2476.3)",BGC0000279<br>Polyketide<br>xantholipin,MIBIG (KnownClusterBlast),2958.6,2476.3,0.30
NZ_RBXX01000002.1.region012,8.0,True,"(2255.1, 1520.8)","P1<br>NZ_RBXX01000002.1.region012<br>['indole', 'lanthipeptide-class-iv']<br>Sch-47554 / Sch-47555<br>0.07",BGC,2255.1,1520.8,0.30
BGC0000268,8.0,True,"(2283.7, 1484.4)",BGC0000268<br>Polyketide<br>Sch-47554;Sch-47555,MIBIG (KnownClusterBlast),2283.7,1484.4,0.30
NZ_RBXX01000002.1.region013,9.0,True,"(1272.0, 2007.9)",P1<br>NZ_RBXX01000002.1.region013<br>['terpene']<br>geosmin<br>1.00,BGC,1272.0,2007.9,0.30
BGC0001181,9.0,True,"(1199.3, 2083.6)",BGC0001181<br>Terpene<br>geosmin,MIBIG (KnownClusterBlast),1199.3,2083.6,0.30
NZ_RBXX01000002.1.region014,10.0,True,"(1038.1, 1849.9)",P1<br>NZ_RBXX01000002.1.region014<br>['terpene']<br>hopene<br>0.46,BGC,1038.1,1849.9,0.30
BGC0000663,10.0,True,"(1119.6, 1902.1)",BGC0000663<br>Terpene<br>hopene,MIBIG (KnownClusterBlast),1119.6,1902.1,0.30
NZ_RBXX01000002.1.region015,11.0,True,"(562.32, 1222.8)",P1<br>NZ_RBXX01000002.1.region015<br>['CDPS']<br>meridamycin<br>0.05,BGC,562.32,1222.8,0.30
BGC0001011,11.0,True,"(484.88, 1189.1)",BGC0001011<br>NRP;Polyketide<br>meridamycin,MIBIG (KnownClusterBlast),484.88,1189.1,0.30
NZ_RBXX01000002.1.region016,12.0,True,"(2536.7, 1675.3)",P1<br>NZ_RBXX01000002.1.region016<br>['terpene']<br>neoantimycin<br>0.20,BGC,2536.7,1675.3,0.30
