feat_id,start,end,seq_id,blast_hit,blast_desc,cluster_id,Identity,Coverage,E-value,Bitscore
cds-GBGKCCPF_45490,0,1305,NZ_GL877879.1.region004,AAG23278.1,spnQ,cog_01,100,93.9,0,872
cds-DMCKNNNH_48970,0,1173,NZ_CP040605.1.region011,AAG23278.1,spnQ,cog_01,96.4,84.4,7.13e-281,763
cds-PKJGIIBK_03400,0,1305,NZ_CP061007.1.region006,AAG23278.1,spnQ,cog_01,100,93.9,0,872
cds-IECPHNMA_33630,0,1137,NZ_CP031142.1.region026,AAG23279.1,spnR,cog_01,93.7,98.2,1.48e-266,723
cds-OOOGHNGE_64070,0,1158,NZ_PJNB01000001.1.region031,AAG23279.1,spnR,cog_01,99.7,100,3.6e-287,775
cds-DMCKNNNH_48960,0,1158,NZ_CP040605.1.region011,AAG23279.1,spnR,cog_01,92.2,100,1.42e-268,728
cds-IECPHNMA_33620,0,1305,NZ_CP031142.1.region026,AAG23278.1,spnQ,cog_01,95.6,93.9,1.8e-310,840
cds-AAG23278.1,0,1379,BGC0000148.region001,AAG23278.1,spnQ,cog_01,100,100,0,999
cds-OOOGHNGE_64060,0,1305,NZ_PJNB01000001.1.region031,AAG23278.1,spnQ,cog_01,100,93.9,0,872
cds-PKJGIIBK_03410,0,1158,NZ_CP061007.1.region006,AAG23279.1,spnR,cog_01,99.7,100,3.6e-287,775
cds-GBGKCCPF_45500,0,1158,NZ_GL877879.1.region004,AAG23279.1,spnR,cog_01,99.7,100,3.6e-287,775
cds-AAG23279.1,0,1148,BGC0000148.region001,AAG23279.1,spnR,cog_01,100,100,0,999
cds-DMCKNNNH_49090,0,786,NZ_CP040605.1.region011,AAG23273.1,spnL,cog_02,36.3,94.3,4.9e-47,157
cds-DMCKNNNH_49090,0,786,NZ_CP040605.1.region011,AAG23267.1,spnF,cog_02,93.5,94.9,1.84e-178,491
cds-PKJGIIBK_03340,0,900,NZ_CP061007.1.region006,AAG23273.1,spnL,cog_02,99.6,100,2.77e-207,565
cds-PKJGIIBK_03340,0,900,NZ_CP061007.1.region006,AAG23267.1,spnF,cog_02,35.1,96.7,6.8e-48,160
cds-PKJGIIBK_03610,0,786,NZ_CP061007.1.region006,AAG23273.1,spnL,cog_02,35.9,94.3,1.07e-45,154
cds-PKJGIIBK_03610,0,786,NZ_CP061007.1.region006,AAG23267.1,spnF,cog_02,100,94.9,9.01e-195,532
cds-GBGKCCPF_45370,0,786,NZ_GL877879.1.region004,AAG23273.1,spnL,cog_02,35.9,94.3,1.07e-45,154
cds-GBGKCCPF_45370,0,786,NZ_GL877879.1.region004,AAG23267.1,spnF,cog_02,100,94.9,9.01e-195,532
cds-DMCKNNNH_49030,0,900,NZ_CP040605.1.region011,AAG23273.1,spnL,cog_02,94.3,100,2.5e-194,533
cds-DMCKNNNH_49030,0,900,NZ_CP040605.1.region011,AAG23267.1,spnF,cog_02,35.8,96.7,6.18e-49,163
cds-PKJGIIBK_03670,0,900,NZ_CP061007.1.region006,AAG23273.1,spnL,cog_02,99.6,100,2.77e-207,565
cds-PKJGIIBK_03670,0,900,NZ_CP061007.1.region006,AAG23267.1,spnF,cog_02,35.1,96.7,6.8e-48,160
cds-OOOGHNGE_63940,0,786,NZ_PJNB01000001.1.region031,AAG23273.1,spnL,cog_02,35.9,94.3,1.07e-45,154
cds-OOOGHNGE_63940,0,786,NZ_PJNB01000001.1.region031,AAG23267.1,spnF,cog_02,100,94.9,9.01e-195,532
cds-IECPHNMA_33490,0,786,NZ_CP031142.1.region026,AAG23273.1,spnL,cog_02,35.9,94.3,8.8e-48,159
cds-IECPHNMA_33490,0,786,NZ_CP031142.1.region026,AAG23267.1,spnF,cog_02,91.6,94.9,1.02e-175,484
cds-AAG23273.1,0,842,BGC0000148.region001,AAG23273.1,spnL,cog_02,100,100,0,999
cds-AAG23267.1,0,818,BGC0000148.region001,AAG23267.1,spnF,cog_02,100,100,0,999
cds-OOOGHNGE_64000,0,900,NZ_PJNB01000001.1.region031,AAG23273.1,spnL,cog_02,99.6,100,2.77e-207,565
cds-OOOGHNGE_64000,0,900,NZ_PJNB01000001.1.region031,AAG23267.1,spnF,cog_02,35.1,96.7,6.8e-48,160
