,group,cluster,pos,text,node_trace,x_pos,y_pos,cutoff
NZ_RBXX01000002.1.region001,0.0,True,"(1867.3, 2759.8)",P1<br>NZ_RBXX01000002.1.region001<br>['NRPS']<br>azicemicin B<br>0.18,BGC,1867.3,2759.8,0.50
BGC0000202,0.0,True,"(1789.9, 2726.1)",BGC0000202<br>Polyketide<br>azicemicin B,MIBIG (KnownClusterBlast),1789.9,2726.1,0.50
NZ_RBXX01000002.1.region002,1.0,True,"(1432.8, 1223.4)",P1<br>NZ_RBXX01000002.1.region002<br>['NRPS']<br>RP-1776<br>0.04,BGC,1432.8,1223.4,0.50
BGC0000429,1.0,True,"(1396.2, 1191.5)",BGC0000429<br>NRP;Polyketide<br>skyllamycin A;skyllamycin B,MIBIG (KnownClusterBlast),1396.2,1191.5,0.50
NZ_RBXX01000002.1.region003,2.0,True,"(2093.8, 760.55)",P1<br>NZ_RBXX01000002.1.region003<br>['ectoine']<br>ectoine<br>1.00,BGC,2093.8,760.55,0.50
BGC0000853,2.0,True,"(2053.6, 699.83)",BGC0000853<br>Other<br>ectoine,MIBIG (BiG-SCAPE),2053.6,699.83,0.50
NZ_RBXX01000002.1.region004,3.0,True,"(2422.9, 1812.2)",P1<br>NZ_RBXX01000002.1.region004<br>['lassopeptide']<br>anantin B1 / anantin B2<br>0.40,BGC,2422.9,1812.2,0.50
BGC0001506,3.0,True,"(2369.7, 1758.0)",BGC0001506<br>RiPP<br>anantin B1;anantin B2,MIBIG (KnownClusterBlast),2369.7,1758.0,0.50
NZ_RBXX01000002.1.region008,4.0,True,"(1507.4, 1535.5)",P1<br>NZ_RBXX01000002.1.region008<br>['T1PKS']<br>maduropeptin<br>0.28,BGC,1507.4,1535.5,0.50
BGC0001008,4.0,True,"(1430.6, 1563.8)",BGC0001008<br>Polyketide<br>maduropeptin,MIBIG (KnownClusterBlast),1430.6,1563.8,0.50
NZ_RBXX01000002.1.region009,5.0,True,"(774.31, 751.67)",P1<br>NZ_RBXX01000002.1.region009<br>['amglyccycl']<br>cetoniacytone A<br>0.45,BGC,774.31,751.67,0.50
BGC0000283,5.0,True,"(781.1, 694.68)",BGC0000283<br>Other<br>cetoniacytone A,MIBIG (KnownClusterBlast),781.1,694.68,0.50
NZ_RBXX01000002.1.region010,6.0,True,"(2936.0, 830.31)",P1<br>NZ_RBXX01000002.1.region010<br>['terpene']<br>tetronomycin<br>0.06,BGC,2936.0,830.31,0.50
BGC0000164,6.0,True,"(2850.6, 795.82)",BGC0000164<br>Polyketide<br>tetronomycin,MIBIG (KnownClusterBlast),2850.6,795.82,0.50
NZ_RBXX01000002.1.region011,7.0,True,"(2118.8, 986.81)","P1<br>NZ_RBXX01000002.1.region011<br>['T2PKS', 'T1PKS']<br>xantholipin<br>0.08",BGC,2118.8,986.81,0.50
BGC0000279,7.0,True,"(2123.1, 913.04)",BGC0000279<br>Polyketide<br>xantholipin,MIBIG (KnownClusterBlast),2123.1,913.04,0.50
NZ_RBXX01000002.1.region012,8.0,True,"(1871.3, 1837.2)","P1<br>NZ_RBXX01000002.1.region012<br>['indole', 'lanthipeptide-class-iv']<br>Sch-47554 / Sch-47555<br>0.07",BGC,1871.3,1837.2,0.50
BGC0000268,8.0,True,"(1849.7, 1871.5)",BGC0000268<br>Polyketide<br>Sch-47554;Sch-47555,MIBIG (BiG-SCAPE),1849.7,1871.5,0.50
NZ_RBXX01000002.1.region013,9.0,True,"(884.82, 1293.6)",P1<br>NZ_RBXX01000002.1.region013<br>['terpene']<br>geosmin<br>1.00,BGC,884.82,1293.6,0.50
BGC0001181,9.0,True,"(814.28, 1348.8)",BGC0001181<br>Terpene<br>geosmin,MIBIG (KnownClusterBlast),814.28,1348.8,0.50
NZ_RBXX01000002.1.region014,10.0,True,"(968.13, 1522.2)",P1<br>NZ_RBXX01000002.1.region014<br>['terpene']<br>hopene<br>0.46,BGC,968.13,1522.2,0.50
BGC0000663,10.0,True,"(981.32, 1433.4)",BGC0000663<br>Terpene<br>hopene,MIBIG (BiG-SCAPE),981.32,1433.4,0.50
NZ_RBXX01000002.1.region015,11.0,True,"(1461.3, 2759.8)",P1<br>NZ_RBXX01000002.1.region015<br>['CDPS']<br>meridamycin<br>0.05,BGC,1461.3,2759.8,0.50
BGC0001011,11.0,True,"(1383.9, 2726.1)",BGC0001011<br>NRP;Polyketide<br>meridamycin,MIBIG (KnownClusterBlast),1383.9,2726.1,0.50
NZ_RBXX01000002.1.region016,12.0,True,"(2406.2, 2227.2)",P1<br>NZ_RBXX01000002.1.region016<br>['terpene']<br>neoantimycin<br>0.20,BGC,2406.2,2227.2,0.50
BGC0001919,12.0,True,"(2452.6, 2281.4)",BGC0001919<br>NRP;Polyketide<br>neoantimycin,MIBIG (KnownClusterBlast),2452.6,2281.4,0.50
NZ_RBXX01000002.1.region017,13.0,True,"(1795.0, 873.42)","P1<br>NZ_RBXX01000002.1.region017<br>['CDPS', 'T3PKS']<br>alkyl-O-dihydrogeranyl-methoxyhydroquinones<br>0.57",BGC,1795.0,873.42,0.50
BGC0001077,13.0,True,"(1763.2, 955.77)",BGC0001077<br>Polyketide<br>alkyl-O-dihydrogeranyl-methoxyhydroquinones,MIBIG (KnownClusterBlast),1763.2,955.77,0.50
NZ_RBXX01000002.1.region018,14.0,True,"(1092.5, 2503.8)",P1<br>NZ_RBXX01000002.1.region018<br>['redox-cofactor']<br>lankacidin C<br>0.13,BGC,1092.5,2503.8,0.50
BGC0001100,14.0,True,"(1024.7, 2429.6)",BGC0001100<br>NRP;Polyketide<br>lankacidin C,MIBIG (KnownClusterBlast),1024.7,2429.6,0.50
NZ_RBXX01000002.1.region019,15.0,True,"(741.45, 1176.6)",P1<br>NZ_RBXX01000002.1.region019<br>['terpene']<br>2-methylisoborneol<br>1.00,BGC,741.45,1176.6,0.50
BGC0000659,15.0,True,"(809.41, 1185.7)",BGC0000659<br>Terpene<br>2-methylisoborneol,MIBIG (BiG-SCAPE),809.41,1185.7,0.50
NZ_RBXX01000002.1.region020,16.0,True,"(1522.0, 1565.5)","P1<br>NZ_RBXX01000002.1.region020<br>['T1PKS', 'NRPS', 'RiPP-like']<br>heat-stable antifungal factor<br>0.38",BGC,1522.0,1565.5,0.50
BGC0000999,16.0,True,"(1462.7, 1630.8)",BGC0000999<br>NRP;Polyketide<br>heat-stable antifungal factor,MIBIG (KnownClusterBlast),1462.7,1630.8,0.50
NZ_RBXX01000002.1.region021,17.0,True,"(1619.1, 1752.4)","P1<br>NZ_RBXX01000002.1.region021<br>['NRPS', 'NRPS-like', 'PKS-like', 'T1PKS']<br>echinomycin<br>0.33",BGC,1619.1,1752.4,0.50
BGC0000339,17.0,True,"(1633.7, 1833.5)",BGC0000339<br>NRP<br>echinomycin,MIBIG (KnownClusterBlast),1633.7,1833.5,0.50
NZ_RBXX01000002.1.region022,18.0,True,"(1639.4, 2530.6)",P1<br>NZ_RBXX01000002.1.region022<br>['terpene']<br>brasilicardin A<br>0.38,BGC,1639.4,2530.6,0.50
BGC0000632,18.0,True,"(1548.3, 2522.1)",BGC0000632<br>Terpene;Saccharide<br>brasilicardin A,MIBIG (KnownClusterBlast),1548.3,2522.1,0.50
NZ_RBXX01000002.1.region023,19.0,True,"(652.76, 520.71)","P1<br>NZ_RBXX01000002.1.region023<br>['LAP', 'NRPS']<br>guadinomine<br>0.08",BGC,652.76,520.71,0.50
BGC0000998,19.0,True,"(636.73, 568.78)",BGC0000998<br>NRP;Polyketide<br>guadinomine;guadinomine B;guadinomic acid,MIBIG (KnownClusterBlast),636.73,568.78,0.50
NZ_FOUP01000033.1.region001,6.0,True,"(2886.9, 842.57)",P1<br>NZ_FOUP01000033.1.region001<br>['terpene']<br>tetronomycin<br>0.06,BGC,2886.9,842.57,0.50
NZ_FOUP01000003.1.region001,1.0,True,"(1425.4, 1237.3)",P1<br>NZ_FOUP01000003.1.region001<br>['NRPS']<br>RP-1776<br>0.04,BGC,1425.4,1237.3,0.50
NZ_FOUP01000002.1.region001,5.0,True,"(716.22, 734.05)",P1<br>NZ_FOUP01000002.1.region001<br>['amglyccycl']<br>cetoniacytone A<br>0.45,BGC,716.22,734.05,0.50
NZ_FOUP01000002.1.region002,4.0,True,"(1536.9, 1532.1)",P1<br>NZ_FOUP01000002.1.region002<br>['T1PKS']<br>maduropeptin<br>0.28,BGC,1536.9,1532.1,0.50
NZ_FOUP01000001.1.region001,13.0,True,"(1755.2, 859.39)","P1<br>NZ_FOUP01000001.1.region001<br>['T3PKS', 'CDPS']<br>alkyl-O-dihydrogeranyl-methoxyhydroquinones<br>0.57",BGC,1755.2,859.39,0.50
NZ_FOUP01000001.1.region002,12.0,True,"(2421.4, 2210.3)",P1<br>NZ_FOUP01000001.1.region002<br>['terpene']<br>neoantimycin<br>0.20,BGC,2421.4,2210.3,0.50
NZ_FOUP01000001.1.region003,11.0,True,"(1378.9, 2778.0)",P1<br>NZ_FOUP01000001.1.region003<br>['CDPS']<br>meridamycin<br>0.05,BGC,1378.9,2778.0,0.50
NZ_FOUP01000001.1.region004,10.0,True,"(923.79, 1482.8)",P1<br>NZ_FOUP01000001.1.region004<br>['terpene']<br>hopene<br>0.46,BGC,923.79,1482.8,0.50
