feature_id,cluster_id,cluster_n,locus_tag
cds-MNMGINNK_29470,cog_01,30,MNMGINNK_29470
cds-SACE_4233,cog_01,30,SACE_4233
cds-GBGKCCPF_58730,cog_01,30,GBGKCCPF_58730
cds-NFDOCLAH_35910,cog_01,30,NFDOCLAH_35910
cds-KHDLNAGE_43600,cog_01,30,KHDLNAGE_43600
cds-GBGKCCPF_58720,cog_01,30,GBGKCCPF_58720
cds-MNMGINNK_29460,cog_01,30,MNMGINNK_29460
cds-OOOGHNGE_59900,cog_01,30,OOOGHNGE_59900
cds-MJIAAPGN_42370,cog_01,30,MJIAAPGN_42370
cds-IHGEIAOG_46170,cog_01,30,IHGEIAOG_46170
cds-AHDHMJBP_08650,cog_01,30,AHDHMJBP_08650
cds-DMCKNNNH_75150,cog_01,30,DMCKNNNH_75150
cds-PKJGIIBK_80330,cog_01,30,PKJGIIBK_80330
cds-AHDHMJBP_08640,cog_01,30,AHDHMJBP_08640
cds-PKJGIIBK_80320,cog_01,30,PKJGIIBK_80320
cds-DMCKNNNH_75140,cog_01,30,DMCKNNNH_75140
cds-IECPHNMA_01470,cog_01,30,IECPHNMA_01470
cds-JNMMHGMF_48670,cog_01,30,JNMMHGMF_48670
cds-NFDOCLAH_35900,cog_01,30,NFDOCLAH_35900
cds-JNMMHGMF_48660,cog_01,30,JNMMHGMF_48660
cds-IECPHNMA_01480,cog_01,30,IECPHNMA_01480
cds-MJIAAPGN_42380,cog_01,30,MJIAAPGN_42380
cds-LLPKHOMA_52100,cog_01,30,LLPKHOMA_52100
cds-DPJDDACK_08110,cog_01,30,DPJDDACK_08110
cds-DPJDDACK_08100,cog_01,30,DPJDDACK_08100
cds-SACE_4232,cog_01,30,SACE_4232
cds-LLPKHOMA_52090,cog_01,30,LLPKHOMA_52090
cds-IHGEIAOG_46160,cog_01,30,IHGEIAOG_46160
cds-OOOGHNGE_59890,cog_01,30,OOOGHNGE_59890
cds-KHDLNAGE_43610,cog_01,30,KHDLNAGE_43610
cds-IHGEIAOG_46140,cog_02,15,IHGEIAOG_46140
cds-GBGKCCPF_58700,cog_02,15,GBGKCCPF_58700
cds-JNMMHGMF_48690,cog_02,15,JNMMHGMF_48690
cds-KHDLNAGE_43580,cog_02,15,KHDLNAGE_43580
cds-DMCKNNNH_75120,cog_02,15,DMCKNNNH_75120
cds-NFDOCLAH_35930,cog_02,15,NFDOCLAH_35930
cds-MNMGINNK_29440,cog_02,15,MNMGINNK_29440
cds-OOOGHNGE_59870,cog_02,15,OOOGHNGE_59870
cds-DPJDDACK_08080,cog_02,15,DPJDDACK_08080
cds-PKJGIIBK_80300,cog_02,15,PKJGIIBK_80300
cds-LLPKHOMA_52070,cog_02,15,LLPKHOMA_52070
cds-IECPHNMA_01500,cog_02,15,IECPHNMA_01500
