seq_id,seq_id2,locus_tag,locus_tag2,identity,similarity,start,end,start2,end2
BGC0000148.region001,NZ_CP031142.1.region026,AAG23280.1,IECPHNMA_33640,0.92,0.95,4165.0,3415.0,145287.0,146028.0
BGC0000148.region001,NZ_CP031142.1.region026,AAG23279.1,IECPHNMA_33630,0.92,0.94,5325.0,4167.0,144118.0,145255.0
BGC0000148.region001,NZ_CP031142.1.region026,AAG23278.1,IECPHNMA_33620,0.9,0.91,6751.0,5362.0,142776.0,144081.0
BGC0000148.region001,NZ_CP031142.1.region026,AAG23277.1,IECPHNMA_33600,0.87,0.89,7082.0,8450.0,142288.0,140974.0
BGC0000148.region001,NZ_CP031142.1.region026,AAG23276.1,IECPHNMA_33580,0.95,0.96,8966.0,10427.0,140246.0,138785.0
BGC0000148.region001,NZ_CP031142.1.region026,AAG23275.1,IECPHNMA_33570,0.94,0.96,10435.0,11434.0,138789.0,137778.0
BGC0000148.region001,NZ_CP031142.1.region026,AAG23274.1,IECPHNMA_33560,0.79,0.80,12492.0,11529.0,136516.0,137683.0
BGC0000148.region001,NZ_CP031142.1.region026,AAG23273.1,IECPHNMA_33550,0.89,0.90,13547.0,12695.0,135617.0,136517.0
BGC0000148.region001,NZ_CP031142.1.region026,AAG23272.1,IECPHNMA_33540,0.96,0.97,14785.0,13591.0,134427.0,135621.0
BGC0000148.region001,NZ_CP031142.1.region026,AAG23271.1,IECPHNMA_33530,0.91,0.93,16418.0,14798.0,132845.0,134414.0
BGC0000148.region001,NZ_CP031142.1.region026,AAG23270.1,IECPHNMA_33520,0.94,0.96,16555.0,17743.0,132657.0,131469.0
BGC0000148.region001,NZ_CP031142.1.region026,AAG23269.1,IECPHNMA_33510,0.97,0.98,18501.0,17748.0,130711.0,131464.0
BGC0000148.region001,NZ_CP031142.1.region026,AAG23268.1,IECPHNMA_33500,0.91,0.92,19713.0,18540.0,129460.0,130672.0
BGC0000148.region001,NZ_CP031142.1.region026,AAG23267.1,IECPHNMA_33490,0.87,0.89,20167.0,20995.0,129007.0,128221.0
BGC0000148.region001,NZ_CP031142.1.region026,AAG23265.1,IECPHNMA_33470,0.93,0.95,28915.0,35374.0,115053.0,108603.0
BGC0000148.region001,NZ_CP031142.1.region026,AAG23266.1,IECPHNMA_33460,0.94,0.96,35418.0,44931.0,108559.0,99055.0
BGC0000148.region001,NZ_CP031142.1.region026,AAG23262.1,IECPHNMA_33430,0.91,0.94,59802.0,76569.0,84162.0,67467.0
BGC0000148.region001,NZ_CP040605.1.region011,AAG23282.1,DMCKNNNH_50050,0.94,0.95,1971.0,1134.0,180356.0,179534.0
BGC0000148.region001,NZ_CP040605.1.region011,AAG23281.1,DMCKNNNH_50060,0.98,0.98,2023.0,2791.0,180423.0,181191.0
BGC0000148.region001,NZ_CP040605.1.region011,AAG23280.1,DMCKNNNH_48950,0.94,0.96,4165.0,3415.0,750.0,0.0
BGC0000148.region001,NZ_CP040605.1.region011,AAG23279.1,DMCKNNNH_48960,0.92,0.96,5325.0,4167.0,1910.0,752.0
BGC0000148.region001,NZ_CP040605.1.region011,AAG23278.1,DMCKNNNH_48970,0.82,0.83,6751.0,5362.0,3113.0,1940.0
BGC0000148.region001,NZ_CP040605.1.region011,AAG23277.1,DMCKNNNH_48980,0.84,0.87,7082.0,8450.0,3751.0,5041.0
BGC0000148.region001,NZ_CP040605.1.region011,AAG23276.1,DMCKNNNH_49000,0.94,0.96,8966.0,10427.0,6219.0,7680.0
BGC0000148.region001,NZ_CP040605.1.region011,AAG23275.1,DMCKNNNH_49010,0.94,0.96,10435.0,11434.0,7676.0,8687.0
BGC0000148.region001,NZ_CP040605.1.region011,AAG23274.1,DMCKNNNH_49020,0.78,0.79,12492.0,11529.0,9867.0,8709.0
BGC0000148.region001,NZ_CP040605.1.region011,AAG23273.1,DMCKNNNH_49030,0.9,0.91,13547.0,12695.0,10766.0,9866.0
BGC0000148.region001,NZ_CP040605.1.region011,AAG23272.1,DMCKNNNH_49040,0.95,0.96,14785.0,13591.0,11956.0,10762.0
BGC0000148.region001,NZ_CP040605.1.region011,AAG23271.1,DMCKNNNH_49050,0.91,0.93,16418.0,14798.0,13538.0,11969.0
BGC0000148.region001,NZ_CP040605.1.region011,AAG23270.1,DMCKNNNH_49060,0.94,0.96,16555.0,17743.0,13726.0,14914.0
BGC0000148.region001,NZ_CP040605.1.region011,AAG23269.1,DMCKNNNH_49070,0.96,0.98,18501.0,17748.0,15672.0,14919.0
