feat_id,file_id,seq_id,start,end,strand,type,introns,parent_ids,source,score,phase,name,protocluster_number,tool,a_stool,product,cutoff,neighbourhood,category,contig_edge,core_location,detection_rule,candidate_cluster_number,kind,protoclusters,detection_rules,label,subregion_number,rules,subregion_numbers,candidate_cluster_numbers,region_number,locus_tag.x,dbxref,function,transl_table,gene_kind,gene_functions,sec_met_domain,protein_id,note,a_s_tool,prepeptide,peptide,molecular_weight,core_sequence,leader_sequence,alternative_weights,predicted_class,leader_location,monoisotopic_mass,inference,ec_number,nrps_pks,a_s_domain,detection,database,evalue,protein_start,domain_id,protein_end,domain_subtype,specificity,estimated_length,gap_type,linkage_evidence,geom_id,cluster_id,cluster_n,locus_tag.y,cluster_label
cds-AHDHMJBP_08430,Erythreapeptin_6.1.1,NZ_CP059556.1.region003,1,333,+,CDS,,,NA,NA,0,NA,NA,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AHDHMJBP_08430,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ab initio prediction:Prodigal:002006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-AHDHMJBP_08430,cog_68,2,AHDHMJBP_08430,rare
cds-AHDHMJBP_08440,Erythreapeptin_6.1.1,NZ_CP059556.1.region003,381,1154,-,CDS,,,NA,NA,0,hisN,NA,NA,NA,Histidinol-phosphatase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AHDHMJBP_08440,COG:COG0483,NA,11,biosynthetic-additional,biosynthetic-additional (smcogs)SMCOG1207:inositol monophosphatase (Score: 265.4%3b E-value:1.1e-80),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P95189",3.1.3.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-AHDHMJBP_08440,cog_14,4,AHDHMJBP_08440,rare
cds-AHDHMJBP_08450,Erythreapeptin_6.1.1,NZ_CP059556.1.region003,1284,1949,+,CDS,,,NA,NA,0,regX3_1,NA,NA,NA,Sensory transduction protein regX3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AHDHMJBP_08450,COG:COG0745,NA,11,regulatory,regulatory (smcogs) SMCOG1008:responseregulator (Score: 205.7%3b E-value: 1.1e-62),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P9WGL9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-AHDHMJBP_08450,cog_42,4,AHDHMJBP_08450,rare
cds-AHDHMJBP_08460,Erythreapeptin_6.1.1,NZ_CP059556.1.region003,1961,3235,+,CDS,,,NA,NA,0,sasA_3,NA,NA,NA,Adaptive-response sensory-kinase SasA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AHDHMJBP_08460,NA,NA,11,regulatory,regulatory (smcogs) SMCOG1003:sensorhistidine kinase (Score: 126.4%3b E-value: 2.9e-38),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_01837",2.7.-.-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-AHDHMJBP_08460,cog_15,4,AHDHMJBP_08460,rare
cds-AHDHMJBP_08470,Erythreapeptin_6.1.1,NZ_CP059556.1.region003,3135,3836,-,CDS,,,NA,NA,0,NA,NA,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AHDHMJBP_08470,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ab initio prediction:Prodigal:002006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-AHDHMJBP_08470,cog_54,3,AHDHMJBP_08470,rare
cds-AHDHMJBP_08480,Erythreapeptin_6.1.1,NZ_CP059556.1.region003,3930,6332,-,CDS,,,NA,NA,0,NA,NA,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AHDHMJBP_08480,NA,NA,11,regulatory,"regulatory (smcogs) SMCOG1032:RNApolymerase, sigma-24 subunit, ECF subfamily (Score: 82.6%3bE-value: 4.5e-25)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ab initio prediction:Prodigal:002006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-AHDHMJBP_08480,cog_62,3,AHDHMJBP_08480,rare
cds-AHDHMJBP_08490,Erythreapeptin_6.1.1,NZ_CP059556.1.region003,6611,7408,+,CDS,,,NA,NA,0,NA,NA,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AHDHMJBP_08490,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ab initio prediction:Prodigal:002006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-AHDHMJBP_08490,cog_55,3,AHDHMJBP_08490,rare
cds-AHDHMJBP_08500,Erythreapeptin_6.1.1,NZ_CP059556.1.region003,7493,8644,+,CDS,,,NA,NA,0,purK,NA,NA,NA,N5-carboxyaminoimidazole ribonucleotide synthase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AHDHMJBP_08500,COG:COG0026,NA,11,biosynthetic-additional,biosynthetic-additional(rule-based-clusters) ATP-grasp,"ATP-grasp (E-value: 2.2e-51, bitscore:172.2, seeds: 20, tool: rule-based-clusters)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P9WHL9",6.3.4.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-AHDHMJBP_08500,cog_16,4,AHDHMJBP_08500,rare
cds-AHDHMJBP_08510,Erythreapeptin_6.1.1,NZ_CP059556.1.region003,8778,9290,+,CDS,,,NA,NA,0,purE,NA,NA,NA,N5-carboxyaminoimidazole ribonucleotide mutase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AHDHMJBP_08510,COG:COG0041,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P9WHM1",5.4.99.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-AHDHMJBP_08510,cog_33,4,AHDHMJBP_08510,rare
cds-AHDHMJBP_08520,Erythreapeptin_6.1.1,NZ_CP059556.1.region003,9345,9608,-,CDS,,,NA,NA,0,NA,NA,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AHDHMJBP_08520,NA,NA,11,biosynthetic,"biosynthetic (rule-based-clusters)RRE-containing: Stand_Alone_Lasso_RRE,biosynthetic-additional(rule-based-clusters) PF05402","PF05402 (E-value: 3e-07, bitscore: 29.0,seeds: 461, tool: rule-based-clusters),Stand_Alone_Lasso_RRE (E-value: 9.9e-18,bitscore: 62.3, seeds: 25, tool: rule-based-clusters)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ab initio prediction:Prodigal:002006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-AHDHMJBP_08520,cog_61,3,AHDHMJBP_08520,rare
