feature_id,cluster_id,cluster_n,locus_tag
cds-PKJGIIBK_08550,cog_01,34,PKJGIIBK_08550
cds-DMCKNNNH_46590,cog_01,34,DMCKNNNH_46590
cds-BEKPJONA_01230,cog_01,34,BEKPJONA_01230
cds-HLMOCMJP_20800,cog_01,34,HLMOCMJP_20800
cds-BEKPJONA_01240,cog_01,34,BEKPJONA_01240
cds-AHDHMJBP_20110,cog_01,34,AHDHMJBP_20110
cds-LLPKHOMA_43370,cog_01,34,LLPKHOMA_43370
cds-HLMOCMJP_20810,cog_01,34,HLMOCMJP_20810
cds-EMDOHHMB_07850,cog_01,34,EMDOHHMB_07850
cds-LEBMCNIK_33600,cog_01,34,LEBMCNIK_33600
cds-LLPKHOMA_43380,cog_01,34,LLPKHOMA_43380
cds-EDIHAEFF_54480,cog_01,34,EDIHAEFF_54480
cds-FLBDJKNF_64630,cog_01,34,FLBDJKNF_64630
cds-AHDHMJBP_20100,cog_01,34,AHDHMJBP_20100
cds-DAABFAHA_20950,cog_01,34,DAABFAHA_20950
cds-IECPHNMA_39020,cog_01,34,IECPHNMA_39020
cds-HDEEIGHA_57530,cog_01,34,HDEEIGHA_57530
cds-FLBDJKNF_64640,cog_01,34,FLBDJKNF_64640
cds-HDEEIGHA_57540,cog_01,34,HDEEIGHA_57540
cds-GBGKCCPF_49580,cog_01,34,GBGKCCPF_49580
cds-DAABFAHA_20940,cog_01,34,DAABFAHA_20940
cds-EDIHAEFF_54490,cog_01,34,EDIHAEFF_54490
cds-EMDOHHMB_07840,cog_01,34,EMDOHHMB_07840
cds-GBGKCCPF_49590,cog_01,34,GBGKCCPF_49590
cds-GEDOIOEN_32700,cog_01,34,GEDOIOEN_32700
cds-MNGIFODF_25910,cog_01,34,MNGIFODF_25910
cds-LEBMCNIK_33590,cog_01,34,LEBMCNIK_33590
cds-PKJGIIBK_08540,cog_01,34,PKJGIIBK_08540
cds-DMCKNNNH_46580,cog_01,34,DMCKNNNH_46580
cds-IECPHNMA_39030,cog_01,34,IECPHNMA_39030
cds-GEDOIOEN_32690,cog_01,34,GEDOIOEN_32690
cds-NCKBKMME_45650,cog_01,34,NCKBKMME_45650
cds-NCKBKMME_45660,cog_01,34,NCKBKMME_45660
cds-MNGIFODF_25920,cog_01,34,MNGIFODF_25920
cds-PKJGIIBK_08570,cog_02,18,PKJGIIBK_08570
cds-GEDOIOEN_32720,cog_02,18,GEDOIOEN_32720
