,arts_id,genome_id,bgc_id,bgc_type,profile,start,stop,hits_type,description,function
1,1244,GCF_003635025.1,NZ_RBXX01000002.1.region002,NRPS,GrpE,1174179,1174929,Core,PF01025.15: GrpE,Unclassified
2,1276,GCF_003635025.1,NZ_RBXX01000002.1.region002,NRPS,TIGR00110,1210229,1211861,Core,ilvD: dihydroxy-acid dehydratase,Amino acid biosynthesis
3,1273,GCF_003635025.1,NZ_RBXX01000002.1.region002,NRPS,TIGR02506,1206272,1208651,Core,"NrdE_NrdA: ribonucleoside-diphosphate reductase, alpha subunit","Purines, pyrimidines, nucleosides, and nucleotides"
4,1250,GCF_003635025.1,NZ_RBXX01000002.1.region002,NRPS,TIGR03954,1178384,1178780,Core,integ_memb_HG: integral membrane protein,Unknown function
5,3804,GCF_003635025.1,NZ_RBXX01000002.1.region004,lassopeptide,TIGR01228,3896427,3898077,Core,hutU: urocanate hydratase,Energy metabolism
6,3785,GCF_003635025.1,NZ_RBXX01000002.1.region004,lassopeptide,TIGR02753,3875383,3875791,Core,"sodN: superoxide dismutase, Ni",Unclassified
7,5391,GCF_003635025.1,NZ_RBXX01000002.1.region007,ranthipeptide,TIGR03997,5609815,5611762,Core,mycofact_OYE_2: mycofactocin system FadH/OYE family oxidoreductase 2,Unclassified
8,5542,GCF_003635025.1,NZ_RBXX01000002.1.region008,T1PKS,PF01039.17,5773786,5775346,ResModel,Carboxyl_trans: Carboxyl transferase domain,ResModel
9,5757,GCF_003635025.1,NZ_RBXX01000002.1.region011,"T2PKS,T1PKS",TIGR03534,6018193,6020527,Core,"RF_mod_PrmC: protein-(glutamine-N5) methyltransferase, release factor-specific",Protein fate
10,5713,GCF_003635025.1,NZ_RBXX01000002.1.region011,"T2PKS,T1PKS",RF0155,5970615,5971707,ResModel,vanS: VanS: trasncriptional regulator of van glycopeptide resistance genes [ARO:3000071],ResModel
11,5715,GCF_003635025.1,NZ_RBXX01000002.1.region011,"T2PKS,T1PKS",RF0158,5972357,5972966,ResModel,vanX: VanX: glycopeptide resistance gene [ARO:3000011],ResModel
12,6086,GCF_003635025.1,NZ_RBXX01000002.1.region013,terpene,RF0053,6403209,6404001,ResModel,ClassA: Class A beta-lactamase [ARO:3000078],ResModel
13,6536,GCF_003635025.1,NZ_RBXX01000002.1.region016,terpene,TIGR02159,6874778,6875297,Core,"PA_CoA_Oxy4: phenylacetate-CoA oxygenase, PaaJ subunit",Energy metabolism
14,6537,GCF_003635025.1,NZ_RBXX01000002.1.region016,terpene,TIGR02158,6875290,6876181,Core,"PA_CoA_Oxy3: phenylacetate-CoA oxygenase, PaaI subunit",Energy metabolism
15,6538,GCF_003635025.1,NZ_RBXX01000002.1.region016,terpene,TIGR02157,6876191,6876503,Core,"PA_CoA_Oxy2: phenylacetate-CoA oxygenase, PaaH subunit",Energy metabolism
16,6539,GCF_003635025.1,NZ_RBXX01000002.1.region016,terpene,TIGR02156,6876499,6877471,Core,"PA_CoA_Oxy1: phenylacetate-CoA oxygenase, PaaG subunit",Energy metabolism
17,6674,GCF_003635025.1,NZ_RBXX01000002.1.region017,"CDPS,T3PKS",TIGR00109,7017892,7018897,Core,hemH: ferrochelatase,"Biosynthesis of cofactors, prosthetic groups, and carriers"
18,7130,GCF_003635025.1,NZ_RBXX01000002.1.region020,"T1PKS,NRPS,RiPP-like",PF01039.17,7521197,7526693,ResModel,Carboxyl_trans: Carboxyl transferase domain,ResModel
19,7330,GCF_003635025.1,NZ_RBXX01000002.1.region021,"NRPS,NRPS-like,PKS-like,T1PKS",RF0007,7744531,7746247,ResModel,ABC_efflux: ATP-binding cassette (ABC) antibiotic efflux pump [ARO:0010001],ResModel
20,2168,GCF_900114905.1,NZ_FOUP01000003.1.region001,NRPS,GrpE,37239,37989,Core,PF01025.15: GrpE,Unclassified
21,2136,GCF_900114905.1,NZ_FOUP01000003.1.region001,NRPS,TIGR00110,307,1939,Core,ilvD: dihydroxy-acid dehydratase,Amino acid biosynthesis
22,2139,GCF_900114905.1,NZ_FOUP01000003.1.region001,NRPS,TIGR02506,3517,5896,Core,"NrdE_NrdA: ribonucleoside-diphosphate reductase, alpha subunit","Purines, pyrimidines, nucleosides, and nucleotides"
23,2162,GCF_900114905.1,NZ_FOUP01000003.1.region001,NRPS,TIGR03954,33388,33784,Core,integ_memb_HG: integral membrane protein,Unknown function
24,3082,GCF_900114905.1,NZ_FOUP01000002.1.region002,T1PKS,PF01039.17,406605,408165,ResModel,Carboxyl_trans: Carboxyl transferase domain,ResModel
25,3233,GCF_900114905.1,NZ_FOUP01000002.1.region003,ranthipeptide,TIGR03997,570189,572136,Core,mycofact_OYE_2: mycofactocin system FadH/OYE family oxidoreductase 2,Unclassified
26,3539,GCF_900114905.1,NZ_FOUP01000001.1.region001,"T3PKS,CDPS",TIGR00109,241855,242860,Core,hemH: ferrochelatase,"Biosynthesis of cofactors, prosthetic groups, and carriers"
27,3677,GCF_900114905.1,NZ_FOUP01000001.1.region002,terpene,TIGR02159,385455,385974,Core,"PA_CoA_Oxy4: phenylacetate-CoA oxygenase, PaaJ subunit",Energy metabolism
28,3676,GCF_900114905.1,NZ_FOUP01000001.1.region002,terpene,TIGR02158,384571,385462,Core,"PA_CoA_Oxy3: phenylacetate-CoA oxygenase, PaaI subunit",Energy metabolism
29,3675,GCF_900114905.1,NZ_FOUP01000001.1.region002,terpene,TIGR02157,384249,384561,Core,"PA_CoA_Oxy2: phenylacetate-CoA oxygenase, PaaH subunit",Energy metabolism
30,3674,GCF_900114905.1,NZ_FOUP01000001.1.region002,terpene,TIGR02156,383281,384253,Core,"PA_CoA_Oxy1: phenylacetate-CoA oxygenase, PaaG subunit",Energy metabolism
31,4290,GCF_900114905.1,NZ_FOUP01000001.1.region005,terpene,RF0053,1046379,1047171,ResModel,ClassA: Class A beta-lactamase [ARO:3000078],ResModel
32,5674,GCF_900114905.1,NZ_FOUP01000013.1.region002,"T1PKS,T2PKS",TIGR03534,132989,135323,Core,"RF_mod_PrmC: protein-(glutamine-N5) methyltransferase, release factor-specific",Protein fate
33,5718,GCF_900114905.1,NZ_FOUP01000013.1.region002,"T1PKS,T2PKS",RF0155,181809,182901,ResModel,vanS: VanS: trasncriptional regulator of van glycopeptide resistance genes [ARO:3000071],ResModel
34,5716,GCF_900114905.1,NZ_FOUP01000013.1.region002,"T1PKS,T2PKS",RF0158,180550,181159,ResModel,vanX: VanX: glycopeptide resistance gene [ARO:3000011],ResModel
35,5838,GCF_900114905.1,NZ_FOUP01000007.1.region001,"T1PKS,PKS-like,NRPS-like,NRPS",RF0007,92198,93914,ResModel,ABC_efflux: ATP-binding cassette (ABC) antibiotic efflux pump [ARO:0010001],ResModel
36,6038,GCF_900114905.1,NZ_FOUP01000007.1.region002,"RiPP-like,NRPS,T1PKS",PF01039.17,311752,317248,ResModel,Carboxyl_trans: Carboxyl transferase domain,ResModel
37,7462,GCF_900114905.1,NZ_FOUP01000018.1.region001,lassopeptide,TIGR01228,94983,96633,Core,hutU: urocanate hydratase,Energy metabolism
38,7481,GCF_900114905.1,NZ_FOUP01000018.1.region001,lassopeptide,TIGR02753,117269,117677,Core,"sodN: superoxide dismutase, Ni",Unclassified
39,701,GCF_007829955.1,NZ_VIWX01000001.1.region006,redox-cofactor,TIGR03451,773010,774093,Core,mycoS_dep_FDH: S-(hydroxymethyl)mycothiol dehydrogenase,Cellular processes
40,781,GCF_007829955.1,NZ_VIWX01000001.1.region007,ranthipeptide,TIGR03997,850779,852723,Core,mycofact_OYE_2: mycofactocin system FadH/OYE family oxidoreductase 2,Unclassified
41,873,GCF_007829955.1,NZ_VIWX01000001.1.region008,terpene,TIGR01980,959387,960845,Core,sufB: FeS assembly protein SufB,"Biosynthesis of cofactors, prosthetic groups, and carriers"
42,872,GCF_007829955.1,NZ_VIWX01000001.1.region008,terpene,TIGR01981,958203,959385,Core,sufD: FeS assembly protein SufD,"Biosynthesis of cofactors, prosthetic groups, and carriers"
43,869,GCF_007829955.1,NZ_VIWX01000001.1.region008,terpene,TIGR01994,955558,956005,Core,"SUF_scaf_2: SUF system FeS assembly protein, NifU family","Biosynthesis of cofactors, prosthetic groups, and carriers"
44,1074,GCF_007829955.1,NZ_VIWX01000001.1.region010,arylpolyene,TIGR00442,1155710,1156979,Core,hisS: histidine--tRNA ligase,Protein synthesis
45,1041,GCF_007829955.1,NZ_VIWX01000001.1.region010,arylpolyene,TIGR00459,1123068,1124886,Core,aspS_bact: aspartate--tRNA ligase,Protein synthesis
46,2150,GCF_007829955.1,NZ_VIWX01000002.1.region002,T1PKS,PF00364.17,381794,383033,ResModel,Biotin_lipoyl: Biotin-requiring enzyme,ResModel
47,2144,GCF_007829955.1,NZ_VIWX01000002.1.region002,T1PKS,PF00364.17,376691,377012,ResModel,Biotin_lipoyl: Biotin-requiring enzyme,ResModel
48,2164,GCF_007829955.1,NZ_VIWX01000002.1.region002,T1PKS,PF01039.17,403455,405033,ResModel,Carboxyl_trans: Carboxyl transferase domain,ResModel
49,2296,GCF_007829955.1,NZ_VIWX01000002.1.region004,"T1PKS,T3PKS,NRPS,NRPS-like",RF0124,593677,594586,ResModel,SubclassB2: Subclass B2 (metallo-) beta-lactamase selectively hydrolize carbapenems [ARO:3000570],ResModel
50,2335,GCF_007829955.1,NZ_VIWX01000002.1.region005,siderophore,TIGR00110,639795,641469,Core,ilvD: dihydroxy-acid dehydratase,Amino acid biosynthesis
51,2999,GCF_007829955.1,NZ_VIWX01000002.1.region008,terpene,RF0053,1353360,1354191,ResModel,ClassA: Class A beta-lactamase [ARO:3000078],ResModel
52,3901,GCF_007829955.1,NZ_VIWX01000004.1.region001,"RiPP-like,T1PKS,NRPS-like",RF0007,298691,300548,ResModel,ABC_efflux: ATP-binding cassette (ABC) antibiotic efflux pump [ARO:0010001],ResModel
53,3905,GCF_007829955.1,NZ_VIWX01000004.1.region001,"RiPP-like,T1PKS,NRPS-like",PF00183.13,303431,305330,ResModel,HSP90: Hsp90 protein,ResModel
54,3877,GCF_007829955.1,NZ_VIWX01000004.1.region001,"RiPP-like,T1PKS,NRPS-like",PF01039.17,154450,158863,ResModel,Carboxyl_trans: Carboxyl transferase domain,ResModel
55,4724,GCF_007829955.1,NZ_VIWX01000005.1.region001,NRPS,TIGR03954,424517,424907,Core,integ_memb_HG: integral membrane protein,Unknown function
56,5161,GCF_007829955.1,NZ_VIWX01000006.1.region001,"NRPS,T1PKS",TIGR01808,310821,311130,Core,CM_M_hiGC-arch: chorismate mutase,Amino acid biosynthesis
57,5160,GCF_007829955.1,NZ_VIWX01000006.1.region001,"NRPS,T1PKS",TIGR01073,307912,310375,Core,pcrA: ATP-dependent DNA helicase PcrA,DNA metabolism
58,5154,GCF_007829955.1,NZ_VIWX01000006.1.region001,"NRPS,T1PKS",TIGR02159,302531,303071,Core,"PA_CoA_Oxy4: phenylacetate-CoA oxygenase, PaaJ subunit",Energy metabolism
59,5136,GCF_007829955.1,NZ_VIWX01000006.1.region001,"NRPS,T1PKS",TIGR00355,271095,272661,Core,purH: phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase,"Purines, pyrimidines, nucleosides, and nucleotides"
60,5153,GCF_007829955.1,NZ_VIWX01000006.1.region001,"NRPS,T1PKS",TIGR02158,301749,302535,Core,"PA_CoA_Oxy3: phenylacetate-CoA oxygenase, PaaI subunit",Energy metabolism
61,5152,GCF_007829955.1,NZ_VIWX01000006.1.region001,"NRPS,T1PKS",TIGR02157,301469,301757,Core,"PA_CoA_Oxy2: phenylacetate-CoA oxygenase, PaaH subunit",Energy metabolism
62,5151,GCF_007829955.1,NZ_VIWX01000006.1.region001,"NRPS,T1PKS",TIGR02156,300435,301473,Core,"PA_CoA_Oxy1: phenylacetate-CoA oxygenase, PaaG subunit",Energy metabolism
63,690,GCF_018070075.1,NZ_JAGPXE010000001.1.region001,"T1PKS,NRPS",TIGR01808,717632,717938,Core,CM_M_hiGC-arch: chorismate mutase,Amino acid biosynthesis
64,716,GCF_018070075.1,NZ_JAGPXE010000001.1.region001,"T1PKS,NRPS",TIGR00355,756402,757968,Core,purH: phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase,"Purines, pyrimidines, nucleosides, and nucleotides"
65,699,GCF_018070075.1,NZ_JAGPXE010000001.1.region001,"T1PKS,NRPS",TIGR02158,726861,727647,Core,"PA_CoA_Oxy3: phenylacetate-CoA oxygenase, PaaI subunit",Energy metabolism
66,700,GCF_018070075.1,NZ_JAGPXE010000001.1.region001,"T1PKS,NRPS",TIGR02157,727639,727927,Core,"PA_CoA_Oxy2: phenylacetate-CoA oxygenase, PaaH subunit",Energy metabolism
67,701,GCF_018070075.1,NZ_JAGPXE010000001.1.region001,"T1PKS,NRPS",TIGR02156,727923,728961,Core,"PA_CoA_Oxy1: phenylacetate-CoA oxygenase, PaaG subunit",Energy metabolism
68,2155,GCF_018070075.1,NZ_JAGPXE010000015.1.region001,redox-cofactor,TIGR03451,187879,188779,Core,mycoS_dep_FDH: S-(hydroxymethyl)mycothiol dehydrogenase,Cellular processes
69,2244,GCF_018070075.1,NZ_JAGPXE010000016.1.region001,ectoine,TIGR00186,85128,86085,Core,"rRNA_methyl_3: RNA methyltransferase, TrmH family, group 3",Protein synthesis
70,4384,GCF_018070075.1,NZ_JAGPXE010000003.1.region004,terpene,RF0053,649656,650487,ResModel,ClassA: Class A beta-lactamase [ARO:3000078],ResModel
71,4443,GCF_018070075.1,NZ_JAGPXE010000004.1.region001,arylpolyene,TIGR00084,35512,36112,Core,ruvA: Holliday junction DNA helicase RuvA,DNA metabolism
72,4444,GCF_018070075.1,NZ_JAGPXE010000004.1.region001,arylpolyene,TIGR00228,36108,36720,Core,ruvC: crossover junction endodeoxyribonuclease RuvC,DNA metabolism
73,4442,GCF_018070075.1,NZ_JAGPXE010000004.1.region001,arylpolyene,TIGR00635,34436,35504,Core,ruvB: Holliday junction DNA helicase RuvB,DNA metabolism
74,4434,GCF_018070075.1,NZ_JAGPXE010000004.1.region001,arylpolyene,TIGR00442,24550,25819,Core,hisS: histidine--tRNA ligase,Protein synthesis
75,4413,GCF_018070075.1,NZ_JAGPXE010000004.1.region001,arylpolyene,TIGR00459,5295,7107,Core,aspS_bact: aspartate--tRNA ligase,Protein synthesis
76,5865,GCF_018070075.1,NZ_JAGPXE010000007.1.region001,lanthipeptide-class-i,TIGR00057,183529,184648,Core,"TIGR00057: tRNA threonylcarbamoyl adenosine modification protein, Sua5/YciO/YrdC/YwlC family",Protein synthesis
77,6310,GCF_018070075.1,NZ_JAGPXE010000008.1.region001,NRPS,TIGR03954,303674,304064,Core,integ_memb_HG: integral membrane protein,Unknown function
78,6324,GCF_018070075.1,NZ_JAGPXE010000008.1.region001,NRPS,PF00364.17,322963,323194,ResModel,Biotin_lipoyl: Biotin-requiring enzyme,ResModel
79,6401,GCF_018070075.1,NZ_JAGPXE010000009.1.region001,ranthipeptide,TIGR03997,67391,69335,Core,mycofact_OYE_2: mycofactocin system FadH/OYE family oxidoreductase 2,Unclassified
80,6499,GCF_018070075.1,NZ_JAGPXE010000009.1.region002,terpene,TIGR01980,181794,183252,Core,sufB: FeS assembly protein SufB,"Biosynthesis of cofactors, prosthetic groups, and carriers"
81,6498,GCF_018070075.1,NZ_JAGPXE010000009.1.region002,terpene,TIGR01981,180608,181793,Core,sufD: FeS assembly protein SufD,"Biosynthesis of cofactors, prosthetic groups, and carriers"
82,6495,GCF_018070075.1,NZ_JAGPXE010000009.1.region002,terpene,TIGR01994,178023,178464,Core,"SUF_scaf_2: SUF system FeS assembly protein, NifU family","Biosynthesis of cofactors, prosthetic groups, and carriers"
83,8,GCF_016859185.1,NZ_CP069353.1.region001,"hglE-KS,T1PKS",TIGR01063,10553,13049,Core,"gyrA: DNA gyrase, A subunit",DNA metabolism
84,26,GCF_016859185.1,NZ_CP069353.1.region001,"hglE-KS,T1PKS",PF00364.17,47169,47676,ResModel,Biotin_lipoyl: Biotin-requiring enzyme,ResModel
85,8,GCF_016859185.1,NZ_CP069353.1.region001,"hglE-KS,T1PKS",PF00521.15,10553,13049,ResModel,"DNA_topoisoIV: DNA gyrase/topoisomerase IV, subunit A",ResModel
86,25,GCF_016859185.1,NZ_CP069353.1.region001,"hglE-KS,T1PKS",PF03255.9,45466,47173,ResModel,ACCA: Acetyl co-enzyme A carboxylase carboxyltransferase alpha subunit,ResModel
87,848,GCF_016859185.1,NZ_CP069353.1.region004,T1PKS,RF0067,924386,925532,ResModel,Erm23S_rRNA_methyltrans: Emr 23S ribosomal RNA methyltransferase: rRNA methyltransferase conferring antibiotic resistance [ARO:3000560],ResModel
88,1348,GCF_016859185.1,NZ_CP069353.1.region005,T3PKS,TIGR03356,1463392,1464682,Core,BGL: beta-galactosidase,Unclassified
89,1414,GCF_016859185.1,NZ_CP069353.1.region006,NRPS,TIGR03954,1541026,1541416,Core,integ_memb_HG: integral membrane protein,Unknown function
90,2274,GCF_016859185.1,NZ_CP069353.1.region008,terpene,TIGR01994,2459425,2459884,Core,"SUF_scaf_2: SUF system FeS assembly protein, NifU family","Biosynthesis of cofactors, prosthetic groups, and carriers"
91,2276,GCF_016859185.1,NZ_CP069353.1.region008,terpene,TIGR01430,2460564,2461626,Core,aden_deam: adenosine deaminase,Unclassified
92,2947,GCF_016859185.1,NZ_CP069353.1.region014,"T1PKS,NRPS-like",TIGR01915,3216952,3217618,Core,npdG: NADPH-dependent F420 reductase,Energy metabolism
93,3135,GCF_016859185.1,NZ_CP069353.1.region016,"NAPAA,NRPS,betalactone",RF0054,3454418,3455174,ResModel,ClassB: Class B beta-lactamase [ARO:3000004],ResModel
94,3141,GCF_016859185.1,NZ_CP069353.1.region016,"NAPAA,NRPS,betalactone",RF0124,3460207,3461170,ResModel,SubclassB2: Subclass B2 (metallo-) beta-lactamase selectively hydrolize carbapenems [ARO:3000570],ResModel
95,3302,GCF_016859185.1,NZ_CP069353.1.region018,NAPAA,TIGR00057,3655238,3655859,Core,"TIGR00057: tRNA threonylcarbamoyl adenosine modification protein, Sua5/YciO/YrdC/YwlC family",Protein synthesis
96,3311,GCF_016859185.1,NZ_CP069353.1.region018,NAPAA,TIGR01430,3667983,3669117,Core,aden_deam: adenosine deaminase,Unclassified
97,3629,GCF_016859185.1,NZ_CP069353.1.region020,terpene,TIGR02159,4000190,4000709,Core,"PA_CoA_Oxy4: phenylacetate-CoA oxygenase, PaaJ subunit",Energy metabolism
98,3628,GCF_016859185.1,NZ_CP069353.1.region020,terpene,TIGR02158,3999306,4000197,Core,"PA_CoA_Oxy3: phenylacetate-CoA oxygenase, PaaI subunit",Energy metabolism
99,3627,GCF_016859185.1,NZ_CP069353.1.region020,terpene,TIGR02157,3998933,3999239,Core,"PA_CoA_Oxy2: phenylacetate-CoA oxygenase, PaaH subunit",Energy metabolism
100,3626,GCF_016859185.1,NZ_CP069353.1.region020,terpene,TIGR02156,3997975,3998941,Core,"PA_CoA_Oxy1: phenylacetate-CoA oxygenase, PaaG subunit",Energy metabolism
101,4317,GCF_016859185.1,NZ_CP069353.1.region025,lanthipeptide-class-iii,PF01039.17,4808170,4813654,ResModel,Carboxyl_trans: Carboxyl transferase domain,ResModel
102,4362,GCF_016859185.1,NZ_CP069353.1.region026,"NRPS,T1PKS,terpene",RF0053,4860211,4861114,ResModel,ClassA: Class A beta-lactamase [ARO:3000078],ResModel
103,4371,GCF_016859185.1,NZ_CP069353.1.region026,"NRPS,T1PKS,terpene",PF00185.19,4902436,4903390,ResModel,"OTCace: Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain",ResModel
104,4570,GCF_016859185.1,NZ_CP069353.1.region029,hglE-KS,TIGR03451,5111846,5112929,Core,mycoS_dep_FDH: S-(hydroxymethyl)mycothiol dehydrogenase,Cellular processes
