,pos,text,node_trace,x_pos,y_pos,cutoff
NZ_RBXX01000002.1.region001,"(2176.2, 1075.3)",P1<br>NZ_RBXX01000002.1.region001<br>['NRPS']<br>azicemicin B<br>0.18<br>GCF_52,BGC < 40% similarity,2176.2,1075.3,0.30
BGC0000202,"(2260.2, 1067.6)","BGC0000202<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>P<br>o<br>l<br>y<br>k<br>e<br>t<br>i<br>d<br>e<br>'<br>,<br> <br>'<br>a<br>z<br>i<br>c<br>e<br>m<br>i<br>c<br>i<br>n<br> <br>B<br>'<br>]<br>)",MIBIG (KnownClusterBlast),2260.2,1067.6,0.30
NZ_RBXX01000002.1.region002,"(1699.8, 1336.0)",P1<br>NZ_RBXX01000002.1.region002<br>['NRPS']<br>RP-1776<br>0.04<br>GCF_3,BGC < 40% similarity,1699.8,1336.0,0.30
BGC0000429,"(1698.7, 1260.2)","BGC0000429<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>N<br>R<br>P<br>;<br>P<br>o<br>l<br>y<br>k<br>e<br>t<br>i<br>d<br>e<br>'<br>,<br> <br>'<br>s<br>k<br>y<br>l<br>l<br>a<br>m<br>y<br>c<br>i<br>n<br> <br>A<br>;<br>s<br>k<br>y<br>l<br>l<br>a<br>m<br>y<br>c<br>i<br>n<br> <br>B<br>'<br>]<br>)",MIBIG (KnownClusterBlast),1698.7,1260.2,0.30
NZ_RBXX01000002.1.region003,"(2082.4, 800.52)",P1<br>NZ_RBXX01000002.1.region003<br>['ectoine']<br>ectoine<br>1.00<br>GCF_1,BGC >= 80% similarity,2082.4,800.52,0.30
BGC0000853,"(2149.6, 832.31)","BGC0000853<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>O<br>t<br>h<br>e<br>r<br>'<br>,<br> <br>'<br>e<br>c<br>t<br>o<br>i<br>n<br>e<br>'<br>]<br>)",MIBIG (KnownClusterBlast),2149.6,832.31,0.30
NZ_RBXX01000002.1.region004,"(657.19, 697.61)",P1<br>NZ_RBXX01000002.1.region004<br>['lassopeptide']<br>anantin B1 / anantin B2<br>0.40<br>GCF_48,BGC < 80% similarity,657.19,697.61,0.30
BGC0001506,"(622.13, 765.04)","BGC0001506<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>R<br>i<br>P<br>P<br>'<br>,<br> <br>'<br>a<br>n<br>a<br>n<br>t<br>i<br>n<br> <br>B<br>1<br>;<br>a<br>n<br>a<br>n<br>t<br>i<br>n<br> <br>B<br>2<br>'<br>]<br>)",MIBIG (KnownClusterBlast),622.13,765.04,0.30
NZ_RBXX01000002.1.region008,"(1782.4, 1727.8)",P1<br>NZ_RBXX01000002.1.region008<br>['T1PKS']<br>maduropeptin<br>0.28<br>GCF_116,BGC < 40% similarity,1782.4,1727.8,0.30
BGC0001008,"(1896.4, 1755.7)","BGC0001008<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>P<br>o<br>l<br>y<br>k<br>e<br>t<br>i<br>d<br>e<br>'<br>,<br> <br>'<br>m<br>a<br>d<br>u<br>r<br>o<br>p<br>e<br>p<br>t<br>i<br>n<br>'<br>]<br>)",MIBIG (KnownClusterBlast),1896.4,1755.7,0.30
