cblaster search
===============
NZ_GL877881.1.region003
=======================
NZ_GL877881.1
-------------
Cluster 1, score 15.2523:
Query           Subject         Identity  Coverage  E-value    Bitscore  Start  End    Strand
NCTC8325_00072  GBGKCCPF_69090  48.9      94        3.32e-132  384       3044   4238   -     
NCTC8325_00071  GBGKCCPF_69100  47        96.1      2.7e-76    231       4230   5007   -     
NCTC8325_00070  GBGKCCPF_69110  43.4      96.3      7.95e-137  410       5000   6764   -     
NCTC8325_00069  GBGKCCPF_69120  38.4      89.4      1.94e-94   298       6760   8404   -     
NCTC8325_00068  GBGKCCPF_69130  33.4      92.6      1.64e-55   187       8400   9618   -     
NCTC8325_00067  GBGKCCPF_69140  30.7      97.6      2.7e-82    268       9617   11342  -     
NCTC8325_00066  GBGKCCPF_69150  57.7      99.1      2.33e-138  395       11341  12355  -     
NCTC8325_00065  GBGKCCPF_69160  52.7      95.4      4.59e-121  350       12370  13354  -     


NZ_PJNB01000001.region028
=========================
NZ_PJNB01000001
---------------
Cluster 2, score 15.2524:
Query           Subject         Identity  Coverage  E-value    Bitscore  Start  End    Strand
NCTC8325_00072  OOOGHNGE_62190  48.9      94        3.32e-132  384       3044   4238   -     
NCTC8325_00071  OOOGHNGE_62200  47        96.1      2.7e-76    231       4230   5007   -     
NCTC8325_00070  OOOGHNGE_62210  43.4      96.3      7.95e-137  410       5000   6764   -     
NCTC8325_00069  OOOGHNGE_62220  38.4      89.4      1.94e-94   298       6760   8404   -     
NCTC8325_00068  OOOGHNGE_62230  33.4      92.6      1.64e-55   187       8400   9618   -     
NCTC8325_00067  OOOGHNGE_62240  31        97.6      7.01e-83   269       9617   11342  -     
NCTC8325_00066  OOOGHNGE_62250  57.7      99.1      2.33e-138  395       11341  12355  -     
NCTC8325_00065  OOOGHNGE_62260  52.7      95.4      4.59e-121  350       12370  13354  -     


NZ_CP040605.1.region017
=======================
NZ_CP040605.1
-------------
Cluster 3, score 15.2518:
Query           Subject         Identity  Coverage  E-value    Bitscore  Start  End    Strand
