,pos,text,node_trace,x_pos,y_pos,cutoff
NZ_RBXX01000002.1.region001,"(3131.2, 772.34)",P1<br>NZ_RBXX01000002.1.region001<br>['NRPS']<br>azicemicin B<br>0.18<br>GCF_30,BGC < 40% similarity,3131.2,772.34,0.30
BGC0000202,"(3215.2, 764.62)","BGC0000202<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>P<br>o<br>l<br>y<br>k<br>e<br>t<br>i<br>d<br>e<br>'<br>,<br> <br>'<br>a<br>z<br>i<br>c<br>e<br>m<br>i<br>c<br>i<br>n<br> <br>B<br>'<br>]<br>)",MIBIG (KnownClusterBlast),3215.2,764.62,0.30
NZ_RBXX01000002.1.region002,"(1393.1, 1739.5)",P1<br>NZ_RBXX01000002.1.region002<br>['NRPS']<br>bacillibactin<br>0.15<br>GCF_4,BGC < 40% similarity,1393.1,1739.5,0.30
BGC0000309,"(1487.8, 1778.5)","BGC0000309<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>N<br>R<br>P<br>'<br>,<br> <br>'<br>b<br>a<br>c<br>i<br>l<br>l<br>i<br>b<br>a<br>c<br>t<br>i<br>n<br>'<br>]<br>)",MIBIG (KnownClusterBlast),1487.8,1778.5,0.30
NZ_RBXX01000002.1.region003,"(913.71, 854.73)",P1<br>NZ_RBXX01000002.1.region003<br>['ectoine']<br>ectoine<br>1.00<br>GCF_1,BGC >= 80% similarity,913.71,854.73,0.30
BGC0000853,"(979.06, 893.54)","BGC0000853<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>O<br>t<br>h<br>e<br>r<br>'<br>,<br> <br>'<br>e<br>c<br>t<br>o<br>i<br>n<br>e<br>'<br>]<br>)",MIBIG (KnownClusterBlast),979.06,893.54,0.30
NZ_RBXX01000002.1.region004,"(491.19, 1324.1)",P1<br>NZ_RBXX01000002.1.region004<br>['lassopeptide']<br>SSV-2083<br>0.18<br>GCF_40,BGC < 40% similarity,491.19,1324.1,0.30
BGC0000579,"(586.41, 1326.1)","BGC0000579<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>R<br>i<br>P<br>P<br>'<br>,<br> <br>'<br>S<br>S<br>V<br>-<br>2<br>0<br>8<br>3<br>'<br>]<br>)",MIBIG (KnownClusterBlast),586.41,1326.1,0.30
NZ_RBXX01000002.1.region008,"(1560.7, 1960.8)",P1<br>NZ_RBXX01000002.1.region008<br>['T1PKS']<br>maduropeptin<br>0.28<br>GCF_94,BGC < 40% similarity,1560.7,1960.8,0.30
BGC0001008,"(1460.3, 1943.0)","BGC0001008<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>P<br>o<br>l<br>y<br>k<br>e<br>t<br>i<br>d<br>e<br>'<br>,<br> <br>'<br>m<br>a<br>d<br>u<br>r<br>o<br>p<br>e<br>p<br>t<br>i<br>n<br>'<br>]<br>)",MIBIG (KnownClusterBlast),1460.3,1943.0,0.30
NZ_RBXX01000002.1.region009,"(2951.2, 2991.2)",P1<br>NZ_RBXX01000002.1.region009<br>['amglyccycl']<br>cetoniacytone A<br>0.45<br>GCF_28,BGC < 80% similarity,2951.2,2991.2,0.30
BGC0000283,"(3033.8, 2956.3)","BGC0000283<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>O<br>t<br>h<br>e<br>r<br>'<br>,<br> <br>'<br>c<br>e<br>t<br>o<br>n<br>i<br>a<br>c<br>y<br>t<br>o<br>n<br>e<br> <br>A<br>'<br>]<br>)",MIBIG (KnownClusterBlast),3033.8,2956.3,0.30
NZ_RBXX01000002.1.region010,"(2171.2, 318.23)",P1<br>NZ_RBXX01000002.1.region010<br>['terpene']<br>tetronomycin<br>0.06<br>GCF_123,BGC < 40% similarity,2171.2,318.23,0.30
BGC0000164,"(2263.1, 317.83)","BGC0000164<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>P<br>o<br>l<br>y<br>k<br>e<br>t<br>i<br>d<br>e<br>'<br>,<br> <br>'<br>t<br>e<br>t<br>r<br>o<br>n<br>o<br>m<br>y<br>c<br>i<br>n<br>'<br>]<br>)",MIBIG (KnownClusterBlast),2263.1,317.83,0.30
NZ_RBXX01000002.1.region011,"(1673.1, 3066.8)","P1<br>NZ_RBXX01000002.1.region011<br>['T2PKS', 'T1PKS']<br>xantholipin<br>0.08<br>GCF_109",BGC < 40% similarity,1673.1,3066.8,0.30
BGC0000279,"(1731.2, 3021.1)","BGC0000279<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>P<br>o<br>l<br>y<br>k<br>e<br>t<br>i<br>d<br>e<br>'<br>,<br> <br>'<br>x<br>a<br>n<br>t<br>h<br>o<br>l<br>i<br>p<br>i<br>n<br>'<br>]<br>)",MIBIG (KnownClusterBlast),1731.2,3021.1,0.30
NZ_RBXX01000002.1.region012,"(1092.9, 2177.1)","P1<br>NZ_RBXX01000002.1.region012<br>['indole', 'lanthipeptide-class-iv']<br>Sch-47554 / Sch-47555<br>0.07<br>GCF_9",P1 | lanthipeptide BGC,1092.9,2177.1,0.30
BGC0000268,"(1059.9, 2149.5)","BGC0000268<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>P<br>o<br>l<br>y<br>k<br>e<br>t<br>i<br>d<br>e<br>'<br>,<br> <br>'<br>S<br>c<br>h<br>-<br>4<br>7<br>5<br>5<br>4<br>;<br>S<br>c<br>h<br>-<br>4<br>7<br>5<br>5<br>5<br>'<br>]<br>)",MIBIG (KnownClusterBlast),1059.9,2149.5,0.30
NZ_RBXX01000002.1.region013,"(2096.1, 1431.6)",P1<br>NZ_RBXX01000002.1.region013<br>['terpene']<br>geosmin<br>1.00<br>GCF_15,BGC >= 80% similarity,2096.1,1431.6,0.30
BGC0001181,"(2150.6, 1402.0)","BGC0001181<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>T<br>e<br>r<br>p<br>e<br>n<br>e<br>'<br>,<br> <br>'<br>g<br>e<br>o<br>s<br>m<br>i<br>n<br>'<br>]<br>)",MIBIG (KnownClusterBlast),2150.6,1402.0,0.30
NZ_RBXX01000002.1.region014,"(2030.3, 1287.5)",P1<br>NZ_RBXX01000002.1.region014<br>['terpene']<br>hopene<br>0.46<br>GCF_5,BGC < 80% similarity,2030.3,1287.5,0.30
BGC0000663,"(1963.9, 1306.2)","BGC0000663<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>T<br>e<br>r<br>p<br>e<br>n<br>e<br>'<br>,<br> <br>'<br>h<br>o<br>p<br>e<br>n<br>e<br>'<br>]<br>)",MIBIG (KnownClusterBlast),1963.9,1306.2,0.30
NZ_RBXX01000002.1.region015,"(1031.2, 412.34)",P1<br>NZ_RBXX01000002.1.region015<br>['CDPS']<br>meridamycin<br>0.05<br>GCF_29,BGC < 40% similarity,1031.2,412.34,0.30
BGC0001011,"(1115.2, 404.62)","BGC0001011<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>N<br>R<br>P<br>;<br>P<br>o<br>l<br>y<br>k<br>e<br>t<br>i<br>d<br>e<br>'<br>,<br> <br>'<br>m<br>e<br>r<br>i<br>d<br>a<br>m<br>y<br>c<br>i<br>n<br>'<br>]<br>)",MIBIG (KnownClusterBlast),1115.2,404.62,0.30
