bgc_id,product,bigscape_class,genome_id,accn_id,gcf_0.30,gcf_0.40,gcf_0.50,Clan Number,fam_id_0.30,fam_type_0.30,fam_known_compounds_0.30,phylogroup,source,gbk_path,record_id,original_id,hcluster,color_code,Domain,Phylum,Class,Order,Family,Genus,Species,Organism,strain,tip_label
NZ_CP069353.1.region023,lanthipeptide-class-iv,RiPPs,GCF_016859185.1,NZ_CP069353.1,2740.0,2740.0,2740.0,,118.0,unknown_family,u_RiPPs_118,P8,bgcflow,/datadrive/saccharopolyspora_clean/data/interim/antismash/6.1.1/GCF_016859185.1/NZ_CP069353.1.region023.gbk,NZ_CP069353.1,NZ_CP069353.1,5.0,#2a9d8f,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Pseudonocardiaceae,g__Saccharopolyspora_D,erythraea,s__Saccharopolyspora_D erythraea,NRRL 23338,P8 | NZ_CP069353.1.region023
NZ_CP069353.1.region025,lanthipeptide-class-iii,RiPPs,GCF_016859185.1,NZ_CP069353.1,3080.0,3080.0,3080.0,,119.0,unknown_family,u_RiPPs_119,P8,bgcflow,/datadrive/saccharopolyspora_clean/data/interim/antismash/6.1.1/GCF_016859185.1/NZ_CP069353.1.region025.gbk,NZ_CP069353.1,NZ_CP069353.1,5.0,#2a9d8f,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Pseudonocardiaceae,g__Saccharopolyspora_D,erythraea,s__Saccharopolyspora_D erythraea,NRRL 23338,P8 | NZ_CP069353.1.region025
NZ_CP054839.1.region018,lanthipeptide-class-iii,RiPPs,GCF_018141105.1,NZ_CP054839.1,2510.0,475.0,475.0,,35.0,known_family,Ery-9;Ery-6;Ery-8;Ery-7;Ery-5;Ery-4;Ery-3,P8,bgcflow,/datadrive/saccharopolyspora_clean/data/interim/antismash/6.1.1/GCF_018141105.1/NZ_CP054839.1.region018.gbk,NZ_CP054839.1,NZ_CP054839.1,5.0,#2a9d8f,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Pseudonocardiaceae,g__Saccharopolyspora_D,erythraea_A,s__Saccharopolyspora_D erythraea_A,SCSIO 07745,P8 | NZ_CP054839.1.region018
NZ_JABNNH010000001.1.region020,lanthipeptide-class-iii,RiPPs,GCF_022392385.1,c00001_NZ_JABN..,2510.0,475.0,475.0,,35.0,known_family,Ery-9;Ery-6;Ery-8;Ery-7;Ery-5;Ery-4;Ery-3,P8,bgcflow,/datadrive/saccharopolyspora_clean/data/interim/antismash/6.1.1/GCF_022392385.1/c00001_NZ_JABN...region020.gbk,c00001_NZ_JABN..,NZ_JABNNH010000001.1,5.0,#2a9d8f,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Pseudonocardiaceae,g__Saccharopolyspora_D,erythraea,s__Saccharopolyspora_D erythraea,E3,P8 | NZ_JABNNH010000001.1.region020
NC_009142.1.region023,lanthipeptide-class-iii,RiPPs,GCF_000062885.1,NC_009142.1,2510.0,475.0,475.0,,35.0,known_family,Ery-9;Ery-6;Ery-8;Ery-7;Ery-5;Ery-4;Ery-3,P8,bgcflow,/datadrive/saccharopolyspora_clean/data/interim/antismash/6.1.1/GCF_000062885.1/NC_009142.1.region023.gbk,NC_009142.1,NC_009142.1,5.0,#2a9d8f,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Pseudonocardiaceae,g__Saccharopolyspora_D,erythraea,s__Saccharopolyspora_D erythraea,NRRL 2338,P8 | NC_009142.1.region023
NZ_PDBV01000001.1.region023,lanthipeptide-class-iii,RiPPs,GCF_002564065.1,NZ_PDBV01000001,2740.0,2740.0,2740.0,,118.0,unknown_family,u_RiPPs_118,P8,bgcflow,/datadrive/saccharopolyspora_clean/data/interim/antismash/6.1.1/GCF_002564065.1/NZ_PDBV01000001.region023.gbk,NZ_PDBV01000001,NZ_PDBV01000001.1,5.0,#2a9d8f,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Pseudonocardiaceae,g__Saccharopolyspora_D,erythraea,s__Saccharopolyspora_D erythraea,DSM 40517,P8 | NZ_PDBV01000001.1.region023
NZ_PDBV01000001.1.region025,lanthipeptide-class-ii,RiPPs,GCF_002564065.1,NZ_PDBV01000001,3080.0,3080.0,3080.0,,119.0,unknown_family,u_RiPPs_119,P8,bgcflow,/datadrive/saccharopolyspora_clean/data/interim/antismash/6.1.1/GCF_002564065.1/NZ_PDBV01000001.region025.gbk,NZ_PDBV01000001,NZ_PDBV01000001.1,5.0,#2a9d8f,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Pseudonocardiaceae,g__Saccharopolyspora_D,erythraea,s__Saccharopolyspora_D erythraea,DSM 40517,P8 | NZ_PDBV01000001.1.region025
NZ_JACHIV010000001.1.region022,RRE-containing.lanthipeptide-class-iii,RiPPs,GCF_014203325.1,c00001_NZ_JACH..,3028.0,3028.0,3028.0,,38.0,unknown_family,u_RiPPs_38,P7,bgcflow,/datadrive/saccharopolyspora_clean/data/interim/antismash/6.1.1/GCF_014203325.1/c00001_NZ_JACH...region022.gbk,c00001_NZ_JACH..,NZ_JACHIV010000001.1,0.0,#e76f51,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Pseudonocardiaceae,g__Saccharopolyspora_C,gloriosae,s__Saccharopolyspora_C gloriosae,DSM 45582,P7 | NZ_JACHIV010000001.1.region022
NZ_CP059557.1.region002,RRE-containing.lanthipeptide-class-iii,RiPPs,GCF_022828475.1,NZ_CP059557.1,3028.0,3028.0,3028.0,,38.0,unknown_family,u_RiPPs_38,P7,bgcflow,/datadrive/saccharopolyspora_clean/data/interim/antismash/6.1.1/GCF_022828475.1/NZ_CP059557.1.region002.gbk,NZ_CP059557.1,NZ_CP059557.1,0.0,#e76f51,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Pseudonocardiaceae,g__Saccharopolyspora_C,s__,s__,MLY014,P7 | NZ_CP059557.1.region002
NZ_CP059556.1.region003,RRE-containing.lanthipeptide-class-iii,RiPPs,GCF_024734405.1,NZ_CP059556.1,3028.0,3028.0,3028.0,,38.0,unknown_family,u_RiPPs_38,P7,bgcflow,/datadrive/saccharopolyspora_clean/data/interim/antismash/6.1.1/GCF_024734405.1/NZ_CP059556.1.region003.gbk,NZ_CP059556.1,NZ_CP059556.1,0.0,#e76f51,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Pseudonocardiaceae,g__Saccharopolyspora_C,s__,s__,BM8-3,P7 | NZ_CP059556.1.region003
