cblaster search
===============
NC_009142.1.region003
=====================
NC_009142.1
-----------
Cluster 1, score 3.0912:
Query       Subject         Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAG23276.1  MJIAAPGN_07310  46.8      92.8      4.75e-143  418       14115  15579  -     
AAG23280.1  MJIAAPGN_07320  47.9      94.4      2.54e-74   225       15732  16446  -     
AAG23277.1  MJIAAPGN_07330  35.8      93.2      3.71e-86   269       16498  17746  -     


NZ_GL877879.1.region004
=======================
NZ_GL877879.1
-------------
Cluster 2, score 48.6361:
Query       Subject         Identity  Coverage  E-value    Bitscore  Start   End     Strand
AAG23283.1  GBGKCCPF_45230  99.9      98        0          1437      64200   66411   +     
AAG23284.1  GBGKCCPF_45240  99        100       6.01e-140  387       66611   67208   -     
AAG23265.1  GBGKCCPF_45250  54        95        0          1881      67570   77902   -     
AAG23262.1  GBGKCCPF_45250  99.3      62        0          6605      67570   77902   -     
AAG23263.1  GBGKCCPF_45300  100       53.3      0          5070      84670   92587   -     
AAG23264.1  GBGKCCPF_45330  61.2      63.9      0          1867      98993   105251  -     
AAG23266.1  GBGKCCPF_45330  99.9      65.7      0          3967      98993   105251  -     
AAG23265.1  GBGKCCPF_45350  99.8      60.7      0          2527      108521  112442  -     
AAG23264.1  GBGKCCPF_45360  100       100       0          5013      114899  122687  -     
AAG23273.1  GBGKCCPF_45370  35.9      94.3      1.07e-45   154       122802  123588  -     
AAG23267.1  GBGKCCPF_45370  100       94.9      9e-195     532       122802  123588  -     
AAG23268.1  GBGKCCPF_45380  99.7      100       2.08e-284  769       124084  125257  +     
AAG23269.1  GBGKCCPF_45390  100       100       6.98e-192  523       125296  126049  +     
AAG23272.1  GBGKCCPF_45400  41.9      93.5      1.01e-100  303       126054  127242  -     
AAG23270.1  GBGKCCPF_45400  99        100       3.34e-288  779       126054  127242  -     
AAG23271.1  GBGKCCPF_45410  99.8      96.8      0          1074      127430  128999  +     
AAG23272.1  GBGKCCPF_45420  100       100       8.34e-299  806       129012  130206  +     
AAG23270.1  GBGKCCPF_45420  41.9      95.2      7.29e-98   296       129012  130206  +     
