feature_id,cluster_id,cluster_n,locus_tag
cds-FLBDJKNF_30340,cog_01,17,FLBDJKNF_30340
cds-PKJGIIBK_01410,cog_01,17,PKJGIIBK_01410
cds-NCTC8325_00069,cog_01,17,NCTC8325_00069
cds-OOOGHNGE_62240,cog_01,17,OOOGHNGE_62240
cds-IECPHNMA_04630,cog_01,17,IECPHNMA_04630
cds-GBGKCCPF_69120,cog_01,17,GBGKCCPF_69120
cds-GBGKCCPF_69140,cog_01,17,GBGKCCPF_69140
cds-DMCKNNNH_53320,cog_01,17,DMCKNNNH_53320
cds-OOOGHNGE_62220,cog_01,17,OOOGHNGE_62220
cds-DMCKNNNH_53340,cog_01,17,DMCKNNNH_53340
cds-HLMOCMJP_16950,cog_01,17,HLMOCMJP_16950
cds-LLPKHOMA_55980,cog_01,17,LLPKHOMA_55980
cds-IECPHNMA_04610,cog_01,17,IECPHNMA_04610
cds-HLMOCMJP_16970,cog_01,17,HLMOCMJP_16970
cds-FLBDJKNF_30320,cog_01,17,FLBDJKNF_30320
cds-PKJGIIBK_01430,cog_01,17,PKJGIIBK_01430
cds-LLPKHOMA_56000,cog_01,17,LLPKHOMA_56000
cds-NCTC8325_00070,cog_02,10,NCTC8325_00070
cds-NCTC8325_00067,cog_02,10,NCTC8325_00067
cds-DMCKNNNH_53350,cog_02,10,DMCKNNNH_53350
cds-HLMOCMJP_16980,cog_02,10,HLMOCMJP_16980
cds-IECPHNMA_04640,cog_02,10,IECPHNMA_04640
cds-GBGKCCPF_69110,cog_02,10,GBGKCCPF_69110
cds-FLBDJKNF_30310,cog_02,10,FLBDJKNF_30310
cds-PKJGIIBK_01400,cog_02,10,PKJGIIBK_01400
cds-OOOGHNGE_62210,cog_02,10,OOOGHNGE_62210
cds-LLPKHOMA_56010,cog_02,10,LLPKHOMA_56010
cds-DMCKNNNH_53300,cog_03,9,DMCKNNNH_53300
cds-IECPHNMA_04590,cog_03,9,IECPHNMA_04590
cds-FLBDJKNF_30360,cog_03,9,FLBDJKNF_30360
cds-OOOGHNGE_62260,cog_03,9,OOOGHNGE_62260
cds-GBGKCCPF_69160,cog_03,9,GBGKCCPF_69160
cds-LLPKHOMA_55960,cog_03,9,LLPKHOMA_55960
cds-HLMOCMJP_16930,cog_03,9,HLMOCMJP_16930
cds-NCTC8325_00065,cog_03,9,NCTC8325_00065
cds-PKJGIIBK_01450,cog_03,9,PKJGIIBK_01450
cds-DMCKNNNH_53310,cog_04,9,DMCKNNNH_53310
cds-GBGKCCPF_69150,cog_04,9,GBGKCCPF_69150
cds-HLMOCMJP_16940,cog_04,9,HLMOCMJP_16940
cds-PKJGIIBK_01440,cog_04,9,PKJGIIBK_01440
cds-NCTC8325_00066,cog_04,9,NCTC8325_00066
cds-IECPHNMA_04600,cog_04,9,IECPHNMA_04600
cds-OOOGHNGE_62250,cog_04,9,OOOGHNGE_62250
cds-FLBDJKNF_30350,cog_04,9,FLBDJKNF_30350
cds-LLPKHOMA_55970,cog_04,9,LLPKHOMA_55970
cds-LLPKHOMA_55990,cog_05,9,LLPKHOMA_55990
cds-HLMOCMJP_16960,cog_05,9,HLMOCMJP_16960
cds-FLBDJKNF_30330,cog_05,9,FLBDJKNF_30330
cds-NCTC8325_00068,cog_05,9,NCTC8325_00068
cds-IECPHNMA_04620,cog_05,9,IECPHNMA_04620
cds-DMCKNNNH_53330,cog_05,9,DMCKNNNH_53330
cds-PKJGIIBK_01420,cog_05,9,PKJGIIBK_01420
cds-GBGKCCPF_69130,cog_05,9,GBGKCCPF_69130
cds-OOOGHNGE_62230,cog_05,9,OOOGHNGE_62230
cds-HLMOCMJP_17000,cog_06,9,HLMOCMJP_17000
cds-NCTC8325_00072,cog_06,9,NCTC8325_00072
cds-DMCKNNNH_53370,cog_06,9,DMCKNNNH_53370
cds-LLPKHOMA_56030,cog_06,9,LLPKHOMA_56030
cds-PKJGIIBK_01380,cog_06,9,PKJGIIBK_01380
cds-FLBDJKNF_30290,cog_06,9,FLBDJKNF_30290
cds-OOOGHNGE_62190,cog_06,9,OOOGHNGE_62190
