feat_id,start,end,seq_id,blast_hit,blast_desc,cluster_id,Identity,Coverage,E-value,Bitscore
cds-FLBDJKNF_30340,0,1653,NZ_JAGPXE010000002.1.region001,NCTC8325_00067,sbnC,cog_01,33.2,97.4,3.9e-88,282
cds-PKJGIIBK_01410,0,1644,NZ_CP061007.1.region003,NCTC8325_00069,sbnE,cog_01,38.4,89.4,1.94e-94,298
cds-NCTC8325_00069,0,1727,BGC0000943.region001,NCTC8325_00069,sbnE,cog_01,100,100,0,999
cds-OOOGHNGE_62240,0,1725,NZ_PJNB01000001.1.region028,NCTC8325_00067,sbnC,cog_01,31,97.6,7.01e-83,269
cds-IECPHNMA_04630,0,1644,NZ_CP031142.1.region007,NCTC8325_00069,sbnE,cog_01,37.1,89.4,3.84e-94,298
cds-GBGKCCPF_69120,0,1644,NZ_GL877881.1.region003,NCTC8325_00069,sbnE,cog_01,38.4,89.4,1.94e-94,298
cds-GBGKCCPF_69140,0,1725,NZ_GL877881.1.region003,NCTC8325_00067,sbnC,cog_01,30.7,97.6,2.7e-82,268
cds-DMCKNNNH_53320,0,1725,NZ_CP040605.1.region017,NCTC8325_00067,sbnC,cog_01,30.9,97.6,7.83e-81,264
cds-OOOGHNGE_62220,0,1644,NZ_PJNB01000001.1.region028,NCTC8325_00069,sbnE,cog_01,38.4,89.4,1.94e-94,298
cds-DMCKNNNH_53340,0,1644,NZ_CP040605.1.region017,NCTC8325_00069,sbnE,cog_01,38.3,89.4,4.97e-95,300
cds-LLPKHOMA_55980,0,1722,NZ_JACHIW010000002.1.region002,NCTC8325_00067,sbnC,cog_01,31.8,97.4,3.9e-81,265
cds-IECPHNMA_04610,0,1725,NZ_CP031142.1.region007,NCTC8325_00067,sbnC,cog_01,31.2,97.6,1.82e-83,271
cds-HLMOCMJP_16970,0,1521,NZ_FOZX01000003.1.region003,NCTC8325_00069,sbnE,cog_01,36.5,88.6,1.23e-90,287
cds-FLBDJKNF_30320,0,1593,NZ_JAGPXE010000002.1.region001,NCTC8325_00069,sbnE,cog_01,37.4,89.6,3.13e-95,300
cds-PKJGIIBK_01430,0,1725,NZ_CP061007.1.region003,NCTC8325_00067,sbnC,cog_01,31,97.6,7.01e-83,269
cds-LLPKHOMA_56000,0,1635,NZ_JACHIW010000002.1.region002,NCTC8325_00069,sbnE,cog_01,35.9,88.8,4.28e-87,279
cds-NCTC8325_00070,0,1769,BGC0000943.region001,NCTC8325_00070,iucC_1,cog_02,100,100,0,999
cds-NCTC8325_00067,0,1745,BGC0000943.region001,NCTC8325_00067,sbnC,cog_02,100,100,0,999
cds-DMCKNNNH_53350,0,1764,NZ_CP040605.1.region017,NCTC8325_00070,iucC_1,cog_02,43.4,96.3,6.3e-136,407
cds-HLMOCMJP_16980,0,1746,NZ_FOZX01000003.1.region003,NCTC8325_00070,iucC_1,cog_02,41.7,96.3,1.83e-130,393
cds-IECPHNMA_04640,0,1764,NZ_CP031142.1.region007,NCTC8325_00070,iucC_1,cog_02,43.5,96.3,2.82e-137,411
cds-GBGKCCPF_69110,0,1764,NZ_GL877881.1.region003,NCTC8325_00070,iucC_1,cog_02,43.4,96.3,7.95e-137,410
cds-FLBDJKNF_30310,0,1749,NZ_JAGPXE010000002.1.region001,NCTC8325_00070,iucC_1,cog_02,42.9,96.3,1.35e-133,401
cds-PKJGIIBK_01400,0,1764,NZ_CP061007.1.region003,NCTC8325_00070,iucC_1,cog_02,43.4,96.3,7.95e-137,410
cds-OOOGHNGE_62210,0,1764,NZ_PJNB01000001.1.region028,NCTC8325_00070,iucC_1,cog_02,43.4,96.3,7.95e-137,410
cds-LLPKHOMA_56010,0,1758,NZ_JACHIW010000002.1.region002,NCTC8325_00070,iucC_1,cog_02,42.2,96.3,2.64e-134,403
cds-DMCKNNNH_53300,0,984,NZ_CP040605.1.region017,NCTC8325_00065,sbnA,cog_03,52.4,95.4,3.73e-120,348
cds-IECPHNMA_04590,0,984,NZ_CP031142.1.region007,NCTC8325_00065,sbnA,cog_03,52.7,95.4,1.31e-120,349
cds-FLBDJKNF_30360,0,984,NZ_JAGPXE010000002.1.region001,NCTC8325_00065,sbnA,cog_03,53.5,95.1,5.22e-125,360
cds-OOOGHNGE_62260,0,984,NZ_PJNB01000001.1.region028,NCTC8325_00065,sbnA,cog_03,52.7,95.4,4.59e-121,350
cds-GBGKCCPF_69160,0,984,NZ_GL877881.1.region003,NCTC8325_00065,sbnA,cog_03,52.7,95.4,4.59e-121,350
cds-LLPKHOMA_55960,0,984,NZ_JACHIW010000002.1.region002,NCTC8325_00065,sbnA,cog_03,53.7,95.4,8.53e-124,357
cds-HLMOCMJP_16930,0,984,NZ_FOZX01000003.1.region003,NCTC8325_00065,sbnA,cog_03,52.2,95.1,5.64e-122,352
cds-NCTC8325_00065,0,971,BGC0000943.region001,NCTC8325_00065,sbnA,cog_03,100,100,0,999
cds-PKJGIIBK_01450,0,984,NZ_CP061007.1.region003,NCTC8325_00065,sbnA,cog_03,52.7,95.4,4.59e-121,350
cds-DMCKNNNH_53310,0,1014,NZ_CP040605.1.region017,NCTC8325_00066,sbnB,cog_04,58,99.1,7.06e-140,399
cds-GBGKCCPF_69150,0,1014,NZ_GL877881.1.region003,NCTC8325_00066,sbnB,cog_04,57.7,99.1,2.33e-138,395
cds-HLMOCMJP_16940,0,996,NZ_FOZX01000003.1.region003,NCTC8325_00066,sbnB,cog_04,58.7,98.8,1.84e-143,407
cds-PKJGIIBK_01440,0,1014,NZ_CP061007.1.region003,NCTC8325_00066,sbnB,cog_04,57.7,99.1,2.33e-138,395
cds-NCTC8325_00066,0,1001,BGC0000943.region001,NCTC8325_00066,sbnB,cog_04,100,100,0,999
cds-IECPHNMA_04600,0,1014,NZ_CP031142.1.region007,NCTC8325_00066,sbnB,cog_04,58,99.1,2.02e-139,397
cds-OOOGHNGE_62250,0,1014,NZ_PJNB01000001.1.region028,NCTC8325_00066,sbnB,cog_04,57.7,99.1,2.33e-138,395
