feat_id,start,end,seq_id,blast_hit,blast_desc,cluster_id,Identity,Coverage,E-value,Bitscore
cds-FLBDJKNF_64660,0,273,NZ_JAGPXE010000009.1.region001,JDNMFAPF_07360,mftB,cog_02,45.6,82.6,8.92e-22,81.3
cds-IECPHNMA_39050,0,273,NZ_CP031142.1.region031,JDNMFAPF_07360,mftB,cog_02,49.5,83.5,3.34e-24,87.4
cds-DAABFAHA_20970,0,273,NZ_VWPH01000016.1.region001,JDNMFAPF_07360,mftB,cog_02,46.1,81.7,5.11e-21,79.3
cds-HDEEIGHA_57560,0,273,NZ_FNVB01000002.1.region005,JDNMFAPF_07360,mftB,cog_02,46.2,83.5,1.79e-21,80.5
cds-HLMOCMJP_20780,0,282,NZ_FOZX01000004.1.region002,JDNMFAPF_07360,mftB,cog_02,46.1,81.7,3.39e-22,82.4
cds-PKJGIIBK_08570,0,261,NZ_CP061007.1.region011,JDNMFAPF_07360,mftB,cog_02,50.6,79.8,1.72e-23,85.5
cds-BEKPJONA_01260,0,306,NZ_JADDUE010000010.1.region001,JDNMFAPF_07360,mftB,cog_02,50,78.9,1.2e-21,81.3
cds-GBGKCCPF_49610,0,261,NZ_GL877879.1.region006,JDNMFAPF_07360,mftB,cog_02,50.6,79.8,1.72e-23,85.5
cds-EMDOHHMB_07870,0,276,NZ_VIWX01000001.1.region007,JDNMFAPF_07360,mftB,cog_02,49.4,81.7,9.79e-24,86.3
cds-JDNMFAPF_07360,0,320,NC_000962.3.region003,JDNMFAPF_07360,mftB,cog_02,100,100,0,999
cds-NCKBKMME_45680,0,273,NZ_RSAA01000007.1.region002,JDNMFAPF_07360,mftB,cog_02,47.2,81.7,1.56e-22,83.2
cds-DMCKNNNH_46540,0,273,NZ_CP040605.1.region009,JDNMFAPF_07360,mftB,cog_02,48.4,83.5,9.52e-24,86.3
cds-GEDOIOEN_32720,0,273,NZ_FOUP01000002.1.region003,JDNMFAPF_07360,mftB,cog_02,46.2,83.5,1.79e-21,80.5
cds-LEBMCNIK_33570,0,273,NZ_FOME01000001.1.region002,JDNMFAPF_07360,mftB,cog_02,46.2,83.5,1.79e-21,80.5
cds-EDIHAEFF_54460,0,273,NZ_RBXX01000002.1.region007,JDNMFAPF_07360,mftB,cog_02,46.2,83.5,1.79e-21,80.5
cds-LLPKHOMA_43350,0,273,NZ_JACHIW010000001.1.region012,JDNMFAPF_07360,mftB,cog_02,48.4,83.5,1.92e-23,85.5
cds-NCKBKMME_45590,0,1344,NZ_RSAA01000007.1.region002,JDNMFAPF_07400,mftF,cog_03,39.2,94.5,2.12e-73,237
cds-BEKPJONA_01170,0,1362,NZ_JADDUE010000010.1.region001,JDNMFAPF_07400,mftF,cog_03,40.8,98.9,1.24e-95,295
cds-GBGKCCPF_49520,0,1356,NZ_GL877879.1.region006,JDNMFAPF_07400,mftF,cog_03,39.7,96.2,2.83e-79,253
cds-DMCKNNNH_46650,0,1356,NZ_CP040605.1.region009,JDNMFAPF_07400,mftF,cog_03,40.7,94.5,1.21e-77,248
cds-FLBDJKNF_64570,0,1344,NZ_JAGPXE010000009.1.region001,JDNMFAPF_07400,mftF,cog_03,41.3,94.5,1.28e-79,253
cds-PKJGIIBK_08480,0,1356,NZ_CP061007.1.region011,JDNMFAPF_07400,mftF,cog_03,39.7,96.2,2.83e-79,253
cds-IECPHNMA_38960,0,1356,NZ_CP031142.1.region031,JDNMFAPF_07400,mftF,cog_03,40.4,94.5,8.6e-78,249
cds-DAABFAHA_20880,0,1344,NZ_VWPH01000016.1.region001,JDNMFAPF_07400,mftF,cog_03,40.2,96.8,2.76e-74,239
cds-LLPKHOMA_43440,0,1368,NZ_JACHIW010000001.1.region012,JDNMFAPF_07400,mftF,cog_03,40.2,96.2,2.06e-80,256
cds-JDNMFAPF_07400,0,1403,NC_000962.3.region003,JDNMFAPF_07400,mftF,cog_03,100,100,0,999
cds-MNGIFODF_25980,0,1344,NZ_JACCFJ010000001.1.region004,JDNMFAPF_07400,mftF,cog_03,39.8,96.2,2.34e-76,245
cds-HLMOCMJP_20870,0,1344,NZ_FOZX01000004.1.region002,JDNMFAPF_07400,mftF,cog_03,37.5,96.2,1.07e-73,238
cds-IECPHNMA_39040,0,1194,NZ_CP031142.1.region031,JDNMFAPF_07370,mftC,cog_04,69.2,99.5,4.87e-195,543
cds-GBGKCCPF_49600,0,1194,NZ_GL877879.1.region006,JDNMFAPF_07370,mftC,cog_04,69,99.5,1.39e-194,542
cds-FLBDJKNF_64650,0,1188,NZ_JAGPXE010000009.1.region001,JDNMFAPF_07370,mftC,cog_04,70.1,99.7,1.31e-201,560
cds-JDNMFAPF_07370,0,1166,NC_000962.3.region003,JDNMFAPF_07370,mftC,cog_04,100,100,0,999
cds-LEBMCNIK_33580,0,1188,NZ_FOME01000001.1.region002,JDNMFAPF_07370,mftC,cog_04,70.2,99.2,2.04e-198,551
